stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1528.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,196.15,2059.56,0,18.39,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,134.85,0,0,0,49.04,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,57.83,55.2,0,152.47,0,0,0,236.58,0,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,1666.6,73.6,0,0,972.62,0,7.89,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,72.38,0,110.14,0,9.44,0,195.11,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,1623.84,56.65,0,0,912.62,0,3.15,0,6.29,69.23,9.44,3.15,0,0,0,0,0
 14-21,0,0,0,13,95,36,0,82,0,0,30,4,0,0,0,1,0,0,0,0,76,0,0,49,1012,22,1,5,30,0,11,0,198,3,81,300,0,0,1,0,0
 24-34,0,0,0,4.1,24.63,4.93,0,264.32,2.46,0,22.98,1.64,0,1.64,0.82,2.46,2.46,1.64,1.64,0,132.16,0.82,0.82,50.07,1332.25,6.57,5.75,13.95,0,0,24.63,0,0.82,1.64,9.03,273.35,0,0,12.31,0,3.28
 36-46,0,0,0,0,8.86,2.42,0,364.97,0.81,0.81,27.39,0,0,2.42,0.81,0,0.81,2.42,1.61,1.61,95.07,0,2.42,29,725.1,0.81,5.64,8.06,0,0.81,8.86,0,1.61,0.81,0,145.83,0,0,6.45,0,1.61
 48-58,0,0,0,0,10.33,0.57,0,326.49,0.57,1.15,26.97,1.15,0,1.72,1.72,0.57,0,1.72,1.15,0.57,98.69,0,4.02,25.82,294.94,2.87,1.15,2.3,0,0,7.46,0,0,0,0,48.2,0,0,9.18,0,0.57
 60-70,0,0,0.98,0,11.78,0.98,0,246.36,1.96,1.96,35.33,0.98,0,0,2.94,0,0,0.98,0.98,0,77.54,0.98,2.94,9.82,179.62,1.96,0,0.98,0,0,4.91,0,0,0.98,0,18.65,0,0,3.93,0,0.98
 72-82,0,0,0.98,0,12.76,1.96,0,107,0,3.93,44.17,1.96,0,2.94,1.96,0.98,0.98,1.96,0,0,92.28,0.98,2.94,17.67,160.01,0,1.96,2.94,0,2.94,6.87,0,0,0,0,6.87,0.98,0.98,7.85,0,0
 84-94,0,0,0,0,18.05,2.12,0,107.27,4.25,1.06,31.86,5.31,0,1.06,7.43,3.19,2.12,3.19,0,1.06,72.22,1.06,6.37,24.43,138.06,3.19,1.06,5.31,0,1.06,10.62,0,0,0,0,3.19,1.06,0,8.5,1.06,0
 96-106,0,0,0,0,20.76,3.28,0,74.31,1.09,2.19,34.97,3.28,0,3.28,7.65,1.09,0,4.37,1.09,0,68.85,0,1.09,15.3,96.17,0,4.37,5.46,0,0,17.49,0,0,0,0,7.65,0,0,5.46,0,1.09
108-118,0,0,0.77,0,16.85,6.13,0.77,68.94,3.06,1.53,34.47,1.53,0,0,9.96,0,1.53,1.53,4.6,0,49.79,0,0.77,15.32,137.11,0,1.53,6.13,0,3.06,14.55,0,0,0.77,0,4.6,3.06,0,6.13,0,0.77
120,0,0,0,0,13.72,7.84,3.92,82.31,1.96,0,45.08,0,0,0,11.76,3.92,1.96,5.88,0,0,41.16,0,0,7.84,117.59,3.92,1.96,0,0,0,11.76,0,0,0,0,3.92,0,0,5.88,0,0
