stage,axial,blastomeres,endoderm,epidermis,fast_muscle,fin_epithelia,glial,neural,paraxial_mesoderm,spinal_cord,taste
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,18.4,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0.57,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,0,0
108-118,0,0,0,0,1.53,0.77,0.77,0,0,1.53,0.77
120,0,0,0,0,0,0,0,1.96,0,1.96,0
