stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,4243.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,232.93,2936.1,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,153.24,12.26,0,0,12.26,42.91,0,0,0,0,0,0,0,0,0
  7-9,18.4,81.49,157.72,0,0,0,381.16,0,0,0,0,78.86,0,0,0,0,0,0,0,0,0,2783.81,47.32,0,0,972.62,0,13.14,0,0,0,0,0,0,0,0
 10-12,3.15,94.41,125.88,0,15.73,0,333.58,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,2350.79,31.47,0,0,871.71,6.29,18.88,0,100.7,0,12.59,0,0,0,0
 14-21,0,0,8,35,20,0,45,0,0,11,0,1,0,0,2,0,0,1,31,0,18,582,10,2,3,11,4,0,43,1,1,22,159,1,0,0
 24-34,0,0,0.82,6.57,9.03,0,124.77,0,0.82,13.95,0,0,0.82,1.64,1.64,0,0,0.82,50.07,0,14.78,793.77,0.82,4.1,4.1,0,5.75,0,0.82,0,0,2.46,151.04,10.67,0,0
 36-46,0,0,0,2.42,2.42,0,143.41,0,0.81,7.25,0.81,0,0,0.81,0,0,0,0,34.64,0.81,10.47,337.58,1.61,3.22,0,0,1.61,0,0,0,0,0,83.79,1.61,0,0
 48-58,0,0,0,5.74,0,0,157.8,0.57,1.72,16.07,0,0,0,0.57,0.57,0.57,0,0,36.72,0.57,6.89,129.68,1.15,1.15,1.72,0,0,0,0,0,0,0,18.94,1.72,0.57,1.15
 60-70,0,0,0,3.93,0.98,0,95.21,0,0,16.69,1.96,0,0,0,0.98,0,0,0,20.61,0,2.94,57.91,0,0,0,0,0,0,0,0,0,0,5.89,1.96,0,0
 72-82,0,0,0,2.94,0,0.98,40.25,0,0.98,16.69,0.98,0,0,3.93,0.98,0,0,0,25.52,0.98,1.96,56.94,0,0,0,0,0,0,0,0,0,0,2.94,2.94,0,0
 84-94,0,0,0,3.19,2.12,0,47.79,0,0,8.5,2.12,0,0,4.25,1.06,0,0,0,18.05,1.06,5.31,47.79,1.06,2.12,2.12,0,1.06,0,0,0,0,0,2.12,2.12,0,0
 96-106,0,0,0,4.37,0,0,21.86,0,0,9.84,0,0,0,7.65,0,0,0,0,18.58,0,3.28,29.51,0,0,4.37,0,0,0,0,0,0,0,2.19,4.37,0,0
108-118,0,0,0,1.53,0.77,0,20.68,0,0,6.89,0,0,0,8.43,0,0,0,0,13.02,1.53,2.3,44.43,0.77,0.77,0.77,0,0.77,0,0,0,0,0,0,3.06,0,0
120,0,0,1.96,1.96,3.92,0,17.64,0,0,7.84,0,0,0,17.64,0,0,1.96,0,5.88,0,5.88,35.28,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0
