stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,2121.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,10.51,0,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,6.29,0,0,9.44,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,56,2,2,0,1,0,0,2,0,0,1,0,0,0,5,0,0,3,13,2,0,2,1,0,3,0,5,0,4,9,0,0,1,0,0
 24-34,0,0,0,1.64,27.09,0,0.82,0,0,0,2.46,2.46,0,1.64,3.28,0.82,0,0.82,14.78,0.82,0,0.82,12.31,0,4.93,1.64,0,0,0,0,0,2.46,0,5.75,0,0,1.64,0,0
 36-46,0,0,0,0,15.31,0,1.61,0,0.81,0,0,0.81,0,2.42,0,0,0.81,0,3.22,0,0,0.81,6.45,0,0,2.42,0,0,0.81,0,0,2.42,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,10.33,0,1.15,0,3.44,1.15,0.57,0.57,0,0.57,0,0,0,0,6.31,0,0,0,2.3,0,0.57,0.57,0,0,0,0,0,0.57,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,17.67,0,2.94,0,7.85,0,1.96,0,0,0,0,0,0,0,5.89,0,0.98,0,4.91,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,25.52,0,8.83,0,4.91,0.98,1.96,4.91,0,0,0,0,1.96,0.98,9.82,0,0.98,0.98,7.85,0,3.93,4.91,0,0.98,0,0,0,0.98,0,0,0,2.94,0,1.96,0
 84-94,0,0,0,0,82.84,0,3.19,0,13.81,1.06,0,9.56,1.06,0,2.12,0,1.06,2.12,6.37,0,1.06,0,2.12,0,4.25,1.06,0,1.06,1.06,0,0,3.19,0,0,1.06,2.12,0,2.12,0
 96-106,0,0,0,2.19,86.33,0,5.46,0,21.86,0,0,10.93,0,0,1.09,0,4.37,0,7.65,1.09,1.09,2.19,3.28,0,16.39,2.19,0,2.19,5.46,0,0,5.46,0,0,3.28,1.09,1.09,4.37,1.09
108-118,0,0,0,0,84.26,0,5.36,0.77,29.11,0,0,5.36,0,0,0,0,3.83,1.53,5.36,0,3.83,3.06,2.3,0,6.89,1.53,0,2.3,1.53,0,0,6.89,0,0.77,2.3,0.77,0,0,0.77
120,0,0,0,0,54.87,0,1.96,0,13.72,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96,0,9.8,1.96,0,1.96,3.92,0,0,3.92,0,0,0,1.96,0,1.96,0
