stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,7,1,0,0,0,0,0,2,0,0,6,0,0,0,1,1,0,0,0,17,1,0,0,0,7,0,0,0,0,16,0,0,0,0,0
 24-34,0,0,3.28,0,0,0,0,0,0.82,0.82,0,0.82,8.21,0,0.82,0,0,2.46,4.1,0.82,0,51.71,0,0,0,0,44.33,0,2.46,0.82,0.82,24.63,0,0,0.82,0,0.82
 36-46,0,0,0.81,0,5.64,0,0,0,1.61,0,0.81,0,4.83,0,1.61,0,0,2.42,0.81,0,0,146.63,0,0.81,0,0,32.23,0.81,0,0,0,37.87,0,0,0,0,0.81
 48-58,0,0,0,0,16.64,0,0,0,1.72,0,0.57,0,2.87,0,2.3,0,0.57,0.57,0,0,0.57,135.99,0,1.15,0,0,15.49,0,0,0.57,0,36.15,0,0,0,0,1.15
 60-70,0,0,1.96,0,46.13,0,0,0.98,3.93,0,0.98,0,2.94,0,0.98,0,0,2.94,0.98,0,0,193.36,0,0.98,0.98,0,21.59,0,0,0,0,36.32,0.98,0,0,0,0
 72-82,0,0,3.93,0,49.08,0,0,0,3.93,1.96,0,0,4.91,0.98,2.94,0,0,4.91,1.96,0,1.96,163.94,0,0,1.96,0,29.45,0,0,0,0,24.54,0,0,0,0.98,1.96
 84-94,0,0,8.5,0,21.24,0,1.06,0,5.31,2.12,0,0,9.56,0,1.06,0,0,4.25,0,2.12,0,64.78,0,2.12,1.06,0,55.23,0,0,0,0,13.81,1.06,2.12,0,1.06,1.06
 96-106,0,0,14.21,0,18.58,0,0,0,9.84,2.19,1.09,0,12.02,0,3.28,0,0,4.37,3.28,2.19,1.09,64.48,0,3.28,0,0,48.09,0,0,0,0,5.46,2.19,1.09,0,0,0
108-118,0,0,11.49,0,13.02,0,1.53,0,2.3,10.72,0,0,9.96,0,1.53,0,0.77,2.3,3.83,0.77,0,63.57,0.77,3.06,0,0,37.53,0,0,0,0,3.83,3.83,0,0,3.06,0
120,0,0,3.92,0,11.76,1.96,1.96,0,1.96,3.92,0,0,15.68,1.96,3.92,1.96,0,1.96,3.92,0,0,86.23,0,1.96,1.96,0,29.4,0,0,0,0,1.96,0,0,0,0,0
