stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,15.73,6.29,0,0,28.32,0,3.15,0,6.29,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,11,0,4,0,0,1,0,0,0,0,0,0,2,0,0,16,1,0,0,2,0,1,5,0,1,2,2,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,1.64,0,0,0,0,0,0,0,0,0.82,0.82,0,0.82,17.24,0,0.82,0,0,0.82,0,0,0,0,0.82,2.46,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,3.22,0,0,6.45,0,0.81,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,18.36,0,0.57,0,0,0.57,0,0,0,0.57,2.3,0,0.57,3.44,1.15,0.57,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,94.23,0.98,0,0,0,0.98,0,0,0,0,4.91,0,0.98,3.93,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,179.64,0,0.98,0,0,0,0,0,0,0.98,7.85,0,0,8.83,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0.98,0,1.96,0
 84-94,0,0,0,0,3.19,0,151.87,1.06,0,0,1.06,0,0,1.06,1.06,0,8.5,1.06,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,99.45,0,0,0,0,0,0,0,0,0,1.09,0,0,3.28,0,1.09,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0,78.13,0,1.53,0.77,0,0,0,0,1.53,0,3.06,0,0.77,6.89,0,0.77,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0
120,0,0,0,0,0,0,50.95,0,3.92,0,0,0,1.96,1.96,1.96,0,3.92,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0
