stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,9.44,6.29,0,0,135.32,0,0,6.29,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,6,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,134,16,0,0,0,2,0,0,75,4,126,967,3,0,0,36,0,0
 24-34,0,0,0.82,18.88,1.64,1.64,1.64,0,0,0,0,0,10.67,0.82,0.82,0.82,0,0,0.82,162.53,0,0,156.78,41.86,0,1.64,0.82,0,0,0,0,11.49,37.76,114.92,12.31,0,0,132.16,0,0.82
 36-46,0.81,0,0,10.47,0.81,3.22,4.03,0,5.64,4.83,0,0,17.72,0,0,2.42,0,0,8.86,338.38,0.81,1.61,165.97,66.87,0,0.81,0,0,0.81,0,0.81,8.86,16.11,3.22,15.31,0,0.81,129.71,0.81,1.61
 48-58,0,0,0,14.92,0,6.89,3.44,0.57,11.48,8.03,0.57,0,16.64,0,0,9.18,0.57,0.57,8.03,435.52,0,6.31,148.62,72.3,0,0,0,0,0.57,0.57,0,2.87,2.87,0,6.89,0,4.59,118.2,0.57,0
 60-70,0,0,0,14.72,0,9.82,1.96,0.98,5.89,23.56,0,0,17.67,0,0.98,38.28,0,0,7.85,589.89,0.98,27.48,125.63,80.48,0,0,0.98,0,13.74,0.98,0,6.87,1.96,0,8.83,0,27.48,116.8,17.67,1.96
 72-82,0,0,0,18.65,0.98,42.21,3.93,1.96,11.78,102.09,0.98,0.98,21.6,0.98,0,24.54,0,2.94,10.8,906.07,0.98,70.68,174.74,154.12,0,0.98,1.96,0,19.63,0,0,1.96,1.96,0,7.85,2.94,63.81,241.49,62.83,1.96
 84-94,0,0,1.06,39.3,0,73.28,0,0,10.62,74.34,1.06,0,24.43,0,1.06,66.91,0,1.06,31.86,695.63,0,76.47,159.31,116.82,0,2.12,2.12,0,21.24,0,0,7.43,1.06,0,3.19,0,64.78,251.7,74.34,1.06
 96-106,0,0,0,46.99,2.19,44.81,5.46,1.09,13.11,114.75,1.09,0,37.16,0,3.28,66.66,1.09,2.19,8.74,700.51,0,78.68,119.12,123.49,0,0,3.28,0,36.06,0,0,12.02,0,0,3.28,0,46.99,280.86,96.17,2.19
108-118,0,0,0,42.13,2.3,26.81,3.83,1.53,9.96,75.83,1.53,0,16.09,1.53,1.53,70.47,0.77,0,19.92,690.9,0.77,56.68,108.77,107.23,1.53,0.77,0.77,0,48.26,0.77,0,4.6,0,0,5.36,0,26.81,194.55,58.21,7.66
120,0,0,0,29.4,1.96,19.6,3.92,1.96,11.76,72.51,1.96,0,19.6,0,0,43.12,0,1.96,7.84,515.42,0,64.67,88.19,94.07,0,0,3.92,0,35.28,0,0,7.84,1.96,0,7.84,0,31.36,152.86,64.67,5.88
