stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.17,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,5.26,73.6,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,31.47,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,9,1,0,0,335,1,0,0,0
 24-34,0,0.82,0,1.64,0,1.64,0,0,0.82,0,0.82,0,0.82,5.75,0,2.46,13.95,0,0.82,0,476.1,4.93,0,1.64,0
 36-46,0,3.22,0,2.42,0,4.83,0,0.81,0,0,0,0,0.81,3.22,0,1.61,6.45,0,0,0,281.18,1.61,0,0,0
 48-58,0,2.3,0,2.3,0,3.44,0,0,0,0,0,0,1.15,1.72,0,1.15,9.18,0,0,0,204.85,2.3,0,0,0
 60-70,0,8.83,0,3.93,0.98,7.85,0,0,0,0.98,0,0,0.98,0.98,0,0,5.89,0,0.98,0,265.01,1.96,0.98,0,0
 72-82,0,12.76,0,1.96,0,3.93,0,0.98,0,1.96,0,0,0,0.98,0,0,5.89,0,0,0,214.98,0,0,0.98,0
 84-94,0,15.93,0,3.19,0,18.05,0,0,0,6.37,0,0,1.06,2.12,0,0,5.31,0,1.06,0,592.62,0,0,1.06,0
 96-106,0,25.14,1.09,2.19,0,21.86,1.09,1.09,0,6.56,0,0,2.19,5.46,1.09,1.09,6.56,0,0,0,514.73,0,0,1.09,1.09
108-118,0,19.92,0,0.77,0,20.68,0,0.77,0,3.06,0,0,3.83,4.6,0,0.77,6.89,0,0,0,293.36,0,0,0,0
120,0,21.56,0,0,0,33.32,0,0,0,5.88,0,0,0,3.92,0,0,3.92,0,0,0,303.77,0,0,0,0
