stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,0,0,0.82,0,0,0,0,3.28,0,0,0,1.64,0,0,1.64,0.82,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0.81,0,0,0
 48-58,0,0,0.57,0,2.87,4.59,0.57,0,0,0,0,1.15,0,0,9.75,0,0,0,0.57,0,0.57,0,0,0,0.57,0
 60-70,0,0,0,0,1.96,5.89,0,0.98,0.98,0,0,0,0,0,1.96,0.98,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.89,0,0,0.98,0,0.98,1.96,0,0.98,3.93,0,0.98,0,1.96,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,3.19,3.19,0,0,0,0,0,2.12,0,4.25,0,0,0,0,1.06,0,3.19,0,1.06,3.19,0,0
 96-106,0,1.09,0,3.28,1.09,8.74,0,1.09,1.09,1.09,0,1.09,0,1.09,8.74,0,0,0,4.37,0,3.28,0,0,8.74,0,1.09
108-118,0,0,1.53,0,1.53,4.6,0.77,0,0.77,0,0.77,3.06,0,7.66,5.36,0,0.77,0,0,0,1.53,0,0.77,10.72,0,0
120,0,0,0,0,1.96,7.84,0,0,0,1.96,0,0,1.96,3.92,3.92,0,0,0,0,1.96,1.96,0,0,3.92,0,0
