stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,4,0,0,0,0,0
 24-34,0,0,0.82,14.78,0.82,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0.82,0,0,0,1.64,0,0,4.93,0,1.64,0.82,0,0,22.16,0,4.93,0.82,0,3.28,0,0.82
 36-46,0,0,0.81,4.03,0,0,0,0,1.61,0,0,0,0,0.81,1.61,0,0,1.61,1.61,0,0.81,0.81,0,0.81,8.86,0,0.81,1.61,0,0,27.39,0,5.64,0,0,2.42,0,0
 48-58,0,0,0.57,6.31,0,0,1.15,0,0,1.15,0.57,0,0,0.57,1.15,0.57,0,0,0,1.15,1.72,1.72,0.57,0.57,10.9,0.57,2.87,0.57,0,0,17.21,0,1.72,2.3,0,1.72,0,3.44
 60-70,0,0,0,10.8,0,0,1.96,0,3.93,0.98,8.83,0,0,0,2.94,0.98,0,2.94,0,0,5.89,1.96,0.98,0,8.83,0,2.94,4.91,0,0,35.33,0,0.98,1.96,0,1.96,0,0
 72-82,0,0,2.94,7.85,0,0,1.96,0,1.96,0.98,11.78,2.94,0.98,0,2.94,4.91,0.98,4.91,0.98,0,14.72,2.94,0.98,0.98,8.83,0.98,5.89,5.89,0,0,36.32,0,4.91,0,1.96,3.93,0,5.89
 84-94,0,0,1.06,24.43,3.19,0,6.37,0,7.43,1.06,12.74,2.12,0,1.06,11.68,7.43,0,1.06,0,0,9.56,7.43,0,1.06,6.37,0,3.19,12.74,0,0,100.89,0,10.62,0,3.19,3.19,1.06,14.87
 96-106,0,0,1.09,36.06,1.09,1.09,8.74,1.09,6.56,0,16.39,9.84,0,0,9.84,13.11,1.09,1.09,0,0,14.21,10.93,0,0,9.84,1.09,16.39,18.58,0,1.09,84.15,0,10.93,2.19,7.65,5.46,0,17.49
108-118,0,0,0.77,55.92,3.06,0,5.36,0,14.55,0,17.62,16.85,0,0,9.96,9.96,2.3,5.36,0.77,0.77,13.02,6.13,0,0,11.49,0.77,6.89,14.55,0,0,69.7,0,10.72,0,5.36,6.13,0.77,43.66
120,0,0,0,48.99,0,0,1.96,1.96,11.76,1.96,13.72,17.64,0,0,17.64,1.96,3.92,3.92,3.92,0,17.64,0,0,1.96,9.8,0,3.92,5.88,0,0,43.12,0,5.88,0,3.92,5.88,1.96,17.64
