stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,105.42,882.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,30.65,692.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,12.26,12.26,0,0,0,0,0,0,0
  7-9,13.14,7.89,13.14,0,0,0,39.43,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,297.04,21.03,115.66,0,5.26,0,0,0,0,0,0
 10-12,0,18.88,18.88,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,151.05,6.29,47.2,0,0,0,6.29,0,3.15,0,0
 14-21,0,0,1,4,1,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,3,15,1,2,2,0,2,0,2,4,0,0
 24-34,0,0,0,3.28,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,1.64,8.21,0,0,1.64,0,0,0.82,0,5.75,0,1.64
 36-46,0,0,0,0.81,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0,0,7.25,0,0,0.81,0,0,0,0,1.61,0,1.61
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0.57,2.87,0,0,1.15,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0.98,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.91,0,0,0.98,1.96,0,0,0,0,0,0,0,0.98,3.93,0,0.98,0,3.93,0,0,1.96,0,0,0,0,0.98,0.98,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0,1.06,1.06,0,0,1.06,0,0,3.19,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,3.28,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0
108-118,0,0,0.77,0,1.53,0,0,0,1.53,0,0,0.77,0,0,0.77,0,0,0.77,0,0,0,1.53,0,0,3.06,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0
