stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,4.93,0.82,0,0,0,0,0,0,0,0,8.21,0,0,4.1,14.78,0,1.64,0,0,0,0,0,0,5.75,0,0,0.82,0
 36-46,0,0,0,3.22,4.83,0,2.42,0.81,1.61,0,0,0,0,29,0,0,8.06,84.6,0,0.81,0.81,0,0,0,0,0,14.5,0,0,0.81,0
 48-58,0,0,1.72,0,29.26,0,0.57,1.72,1.15,0,0,0,0,43.61,0,0.57,3.44,117.63,0,1.72,2.87,0,0.57,0,0.57,0.57,16.07,0,0,2.3,0
 60-70,0,0,1.96,0,25.52,0,0,0,0,0,0,0,0,20.61,0,0.98,0,61.84,0,0,0.98,0,0,0,0,0,6.87,0,0,0,0.98
 72-82,0,0,0.98,0,47.12,0.98,0.98,4.91,0.98,1.96,1.96,0,1.96,53.01,0,3.93,2.94,117.8,0,0.98,0.98,0,0.98,0.98,0,0,11.78,0.98,3.93,0,0
 84-94,0,1.06,4.25,2.12,8.5,0,0,0,0,0,0,0,0,23.36,0,2.12,2.12,43.54,0,0,2.12,0,1.06,4.25,0,0,3.19,13.81,1.06,1.06,1.06
 96-106,0,1.09,1.09,2.19,17.49,0,0,3.28,0,2.19,1.09,1.09,0,14.21,1.09,0,0,34.97,0,5.46,7.65,0,0,1.09,0,0,0,4.37,0,0,0
108-118,0,0,3.06,0.77,17.62,0,0,4.6,0,1.53,0,0,1.53,15.32,0,0,0.77,36,0,1.53,2.3,0,0,3.06,0,0.77,0,6.13,0.77,3.06,0.77
120,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,5.88,0,0,0,7.84,1.96,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0
