stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature,xanthophores
  3-4,26.36,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,78,0,0,0,0,0,0,0,23,0,0
 24-34,0,0,0.82,0.82,0,11.49,0,5.75,0,0,0,0,0.82,0,0.82,0,0.82,155.14,0,0.82,0,0,0.82,0,4.1,54.18,0.82,0
 36-46,0,0,0.81,0,0,8.86,0,5.64,0,0,0,0,0,0,1.61,0,0.81,66.87,0,0,0,0,0.81,0,1.61,31.42,0,0.81
 48-58,0,0,0.57,0,0,16.64,0,9.18,0,1.15,0,0,0,0.57,8.03,0,0,30.41,0,0.57,0,0,0,0,0,19.51,0.57,0
 60-70,0,0,0.98,0.98,0,22.58,0,15.7,0.98,0,0.98,0.98,0,0,5.89,0,1.96,18.65,0,0,0,0,0,0,0,5.89,0,0
 72-82,0,0,1.96,0,0,6.87,0,14.72,0,0,0,0,0,0.98,14.72,0.98,0.98,20.61,0,0,0,0,0,0,0.98,1.96,0,0
 84-94,0,0,1.06,0,0,13.81,0,7.43,0,1.06,0,0,0,0,16.99,0,0,2.12,0,0,0,0,1.06,0,0,2.12,0,0
 96-106,0,0,0,2.19,0,13.11,1.09,7.65,0,1.09,1.09,0,0,0,9.84,0,1.09,9.84,0,1.09,1.09,0,0,1.09,0,2.19,0,0
108-118,0,0,0.77,0.77,0,10.72,0,9.19,0,0,0,0,0,0,9.96,0,0.77,16.09,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,19.6,0,7.84,0,0,0,0,0,1.96,5.88,0,0,7.84,0,0,0,0,0,0,0,0,0,0
