stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,25.18,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,0,0,0,0,0,0,0,0,0,19,0,0,8,57,23,0,0,0,0,5,0,0,0,0,0
 24-34,0,0,8.21,0,5.75,0,0,0.82,0,0,0,0,0,0.82,65.67,0,0,15.6,134.62,0.82,0,0,0,0,17.24,0,0,0,0,0
 36-46,0,0,4.83,0,9.67,0,1.61,6.45,0,0,0,0,0.81,0,80.57,0.81,0,16.92,146.63,2.42,0,0,0,0,29.81,0,0,0,0,0
 48-58,0,0,4.02,0,20.66,0,3.44,10.9,0,0,0,0,0,0,94.68,0,0,9.75,153.78,0,0,0,0,0.57,25.25,0,0,0.57,0,0
 60-70,0,0,2.94,0,54.97,0,2.94,17.67,0,0,0,0,0,0,127.6,0,0,3.93,151.15,0,0.98,0,0,0.98,24.54,0,0,0,0,0.98
 72-82,0,0,2.94,0,47.12,0,2.94,24.54,0,0,0,0.98,0,0,122.71,0,0,6.87,181.61,0,0,0,0.98,0,16.69,0,0,0,0,0.98
 84-94,0,0,8.5,0,53.1,1.06,3.19,14.87,0,0,0,0,0,0,118.95,0,2.12,7.43,110.45,0,1.06,0,0,1.06,11.68,0,1.06,0,0,0
 96-106,0,0,2.19,1.09,42.62,0,4.37,22.95,0,1.09,0,0,0,0,87.43,0,0,4.37,100.54,0,0,0,0,0,3.28,0,1.09,1.09,1.09,0
108-118,0,0,6.89,0,45.96,0,2.3,9.96,0,0,0.77,0.77,0,0,66.64,0,0,8.43,114.13,0,0,0.77,0,1.53,1.53,0.77,0,0,2.3,0.77
120,0,0,1.96,0,19.6,0,1.96,13.72,0,0,0,0,0,0,50.95,0,0,0,76.43,0,0,0,0,0,3.92,0,0,0,0,0
