stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,7.39,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0.81,1.61,0,2.42,0,0,0,0,16.92,0,2.42,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,1.15,0,0.57,0,0,0,0,0,0,0.57,0,1.15,0,0,0,0,18.94,0,6.31,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0.98,0,1.96,0.98,0,0,0,13.74,0,8.83,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,0,6.87,0,3.93,0,37.3,0,0,0,0,0,0,3.93,0,13.74,0,0,0,0,15.71,0,30.43,0,0,1.96,0
 84-94,0,0,1.06,0,0,0,0,3.19,0,7.43,0,54.16,0,0,0,1.06,1.06,0,2.12,1.06,2.12,0,0,0,0,30.8,0,66.91,0,0,0,0
 96-106,0,0,2.19,4.37,1.09,0,0,7.65,0,6.56,0,246.98,1.09,1.09,2.19,0,1.09,0,10.93,0,22.95,0,0,2.19,0,26.23,0,80.87,0,2.19,0,1.09
108-118,0,0,0,6.13,0.77,1.53,0,6.89,0,9.96,1.53,346.98,0,0,0,0,1.53,0,3.83,0.77,10.72,0,0,0,0,12.26,0,68.17,1.53,0,0.77,0
120,1.96,0,0,1.96,0,5.88,1.96,1.96,1.96,5.88,5.88,243.01,0,0,0,0,3.92,0,7.84,1.96,11.76,0,0,0,0,7.84,0,41.16,0,0,1.96,1.96
