stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,3030.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0,0
  5-6,300.35,3567.45,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,122.59,6.13,0,0,24.52,85.81,0,0,0,0,0,0,0,0,0,0
  7-9,68.35,105.15,0,241.84,0,2.63,441.62,0,0,0,0,181.38,0,0,0,0,0,0,0,0,0,0,0,3701.23,99.89,0,0,1514.14,10.51,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,75.53,0,88.12,0,9.44,195.11,0,0,0,0,31.47,0,0,0,0,0,3.15,0,0,0,0,0,1850.42,28.32,0,0,682.89,3.15,12.59,3.15,69.23,0,9.44,3.15,0,0,0,0
 14-21,0,0,0,1,32,6,14,0,0,7,2,1,0,0,1,0,0,0,1,17,0,0,19,240,8,3,1,3,13,0,20,1,4,25,62,0,1,0,0
 24-34,0,0,0.82,1.64,13.13,9.85,126.41,0,0,14.78,0,0.82,1.64,0.82,2.46,0,2.46,0,0.82,56.64,0,0,11.49,733.85,1.64,4.93,10.67,0,10.67,0,0,0,0,5.75,137.08,0,7.39,0,0
 36-46,0,0,0,0,5.64,4.03,408.47,0.81,0,11.28,0,0,0,2.42,0.81,0,0,0,0,57.2,0,0.81,16.11,575.25,1.61,6.45,0.81,0,6.45,0,0,0,0,0,106.35,0,4.83,0,2.42
 48-58,0,0,0,0,3.44,5.16,533.06,0,0,17.79,0.57,0,1.15,1.15,0.57,0.57,1.15,1.72,0,78.61,0,1.15,13.2,319.61,1.15,2.3,3.44,0,1.72,0,0,0,0,0,46.48,0,3.44,0,0
 60-70,0,0,0,0,16.69,2.94,502.54,0,0.98,41.22,0.98,0,0.98,0.98,0,0.98,3.93,0.98,0,98.15,0.98,3.93,14.72,272.86,0.98,0.98,2.94,0,5.89,0,0,0,0,0,15.7,0,5.89,0,0
 72-82,0,0,0,0,8.83,3.93,119.76,0,0,13.74,0.98,0,0.98,0.98,0,0,0,0,0,62.83,1.96,3.93,7.85,93.26,0,0,4.91,0,0.98,0,0,0,0,0,3.93,0.98,2.94,0.98,0
 84-94,0,0,0,0,12.74,4.25,116.82,0,1.06,10.62,2.12,0,1.06,4.25,2.12,1.06,0,0,0,62.66,0,5.31,10.62,86.03,0,2.12,3.19,0,5.31,0,0,0,0,0,3.19,0,6.37,1.06,0
 96-106,0,0,0,0,4.37,7.65,50.27,0,1.09,14.21,2.19,0,0,1.09,0,0,0,0,0,21.86,1.09,1.09,4.37,48.09,0,2.19,1.09,0,6.56,0,0,0,0,0,1.09,0,4.37,0,0
108-118,0,0,0,0,6.13,3.06,42.89,0,0,6.89,2.3,0,0,1.53,0.77,1.53,1.53,0,0,19.15,0,0,3.83,39.06,0,0.77,0,0,3.83,0,0,0.77,0,0,0.77,0.77,2.3,0,0
120,0,0,0,0,1.96,15.68,78.39,0,0,15.68,0,0,1.96,3.92,3.92,0,0,1.96,0,19.6,0,1.96,7.84,74.47,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0
