stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,13.14,7.89,0,0,21.03,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,181.38,5.26,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,25.18,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591.63,34.62,0,0,81.82,0,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,1,0,9,1957,54,68,0,20,0,25,10,3,6,0,16,4,1,0,6,170,9,0,141,411,405,2,17,26,0,7,60,13,11,71,341,0,0,59,0,7
 24-34,0.82,0.82,1.64,820.86,9.03,114.1,0,78.8,10.67,50.89,1.64,0,15.6,0,0.82,6.57,7.39,4.1,5.75,344.76,13.13,0.82,178.95,276.63,160.07,8.21,33.66,0,0.82,5.75,0.82,20.52,0.82,21.34,261.85,0,0,199.47,0,17.24
 36-46,0.81,0,0.81,204.64,2.42,61.23,2.42,39.48,35.45,62.84,0.81,0,18.53,0,0,10.47,4.03,1.61,4.83,361.75,0,6.45,109.57,128.1,78.96,4.03,14.5,0,0.81,5.64,1.61,5.64,0,0.81,169.19,0,0.81,117.63,0.81,14.5
 48-58,0,0,0.57,168.12,0,71.15,0.57,44.76,43.61,91.23,0.57,0,9.18,0,0.57,22.95,4.59,0.57,8.03,570.36,1.72,19.51,96.97,119.93,30.99,2.87,20.66,0,2.3,3.44,0,6.31,1.15,0,151.48,0,2.87,114.19,0.57,13.77
 60-70,0,0,0,110.91,0,59.87,2.94,37.3,27.48,110.91,5.89,0,4.91,0.98,0.98,22.58,3.93,2.94,5.89,587.93,0.98,32.39,37.3,70.67,18.65,2.94,18.65,0,6.87,0,0,2.94,0,0,53.98,0,11.78,64.78,4.91,1.96
 72-82,0,0,2.94,96.2,0,64.79,0,20.61,37.3,131.54,6.87,0,6.87,0,1.96,26.5,4.91,2.94,7.85,659.68,1.96,40.25,51.05,74.61,11.78,6.87,24.54,0,11.78,0.98,0,5.89,0,0,16.69,0.98,23.56,153.14,21.6,2.94
 84-94,0,0,0,162.49,1.06,103.02,3.19,30.8,33.99,81.78,14.87,0,3.19,1.06,11.68,43.54,3.19,4.25,10.62,454.55,0,26.55,37.17,56.29,13.81,9.56,28.68,0,5.31,6.37,0,4.25,0,0,20.18,2.12,19.12,137,23.36,4.25
 96-106,0,0,0,128.96,2.19,72.13,0,24.04,13.11,69.94,16.39,0,1.09,1.09,9.84,26.23,10.93,2.19,7.65,255.73,3.28,24.04,22.95,60.11,3.28,10.93,33.88,0,10.93,2.19,0,6.56,0,0,5.46,4.37,7.65,136.61,17.49,6.56
108-118,0,0,0,155.49,0.77,47.49,0,52.09,12.26,41.36,13.79,0,3.06,0.77,14.55,54.38,6.13,2.3,9.19,164.68,1.53,12.26,26.04,40.6,5.36,5.36,11.49,0,11.49,0.77,0,3.06,0.77,0,3.06,1.53,11.49,80.43,10.72,5.36
120,1.96,0,0,133.27,1.96,35.28,0,45.08,5.88,62.71,3.92,0,1.96,0,11.76,15.68,9.8,1.96,1.96,123.47,0,3.92,29.4,33.32,1.96,5.88,7.84,0,7.84,0,0,1.96,0,0,0,0,7.84,60.75,5.88,3.92
