stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,289.91,3992.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,306.48,4958.87,0,18.39,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,165.5,24.52,0,0,42.91,0,49.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,86.75,0,126.18,0,0,254.99,0,0,0,0,70.98,0,0,0,0,0,0,0,0,0,0,2507.79,55.2,0,0,962.11,0,5.26,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,66.09,0,59.79,0,12.59,182.52,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,1526.28,22.03,0,0,550.72,0,0,9.44,0,100.7,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,0,11,59,14,44,0,0,27,4,0,0,0,3,0,0,1,37,0,0,38,783,5,4,7,20,0,16,0,45,4,0,43,228,0,0,1,0,0
 24-34,0,0,0,4.1,18.88,1.64,186.33,1.64,1.64,24.63,0.82,0,0.82,0.82,1.64,1.64,1.64,0,80.44,0,0.82,33.66,949.73,3.28,5.75,9.03,0.82,0,18.06,0,0,1.64,0,4.93,182.23,0,0,6.57,0,0.82
 36-46,0,0,0,0,14.5,0.81,377.86,1.61,1.61,16.92,0,0,1.61,0.81,0,0,1.61,0.81,92.65,0,1.61,27.39,652.59,0,1.61,1.61,0,0,11.28,0,0.81,0,0.81,0,149.85,0,0,0.81,0,0
 48-58,0,0,0,0,7.46,0,265.67,0,2.3,20.08,0.57,0,0.57,0.57,1.15,1.15,1.72,0,61.97,0.57,3.44,14.92,216.9,0.57,0,1.72,0,0,4.02,0,0,0.57,0,0,33.85,0,0,2.87,0,0.57
 60-70,0.98,0,0,0,6.87,0.98,156.06,0,0.98,25.52,3.93,0,0.98,0.98,1.96,0,0,0,56.93,0,0,13.74,123.67,0,0.98,1.96,0,0.98,2.94,0,0,0,0,0,8.83,0,0,2.94,0,0.98
 72-82,0,0,0.98,0,12.76,0.98,53.99,0.98,1.96,28.47,1.96,0,1.96,0.98,0,0,0.98,0,53.99,0,2.94,6.87,83.44,1.96,0,3.93,0,0,0.98,0,0,0,0,0,3.93,0.98,0.98,8.83,0,0
 84-94,0,0,0,0,5.31,1.06,52.04,0,1.06,14.87,3.19,0,1.06,1.06,4.25,2.12,1.06,0,29.74,0,1.06,9.56,59.47,0,1.06,1.06,0,0,2.12,0,0,0,0,0,1.06,0,0,4.25,0,0
 96-106,0,0,0,0,14.21,6.56,33.88,0,1.09,18.58,2.19,0,0,3.28,1.09,0,0,0,24.04,0,0,1.09,62.29,0,1.09,0,0,0,9.84,2.19,0,0,0,0,0,0,0,8.74,0,0
108-118,0,0,0,0,17.62,1.53,39.83,0,1.53,21.45,2.3,0,0,5.36,2.3,3.06,0,2.3,26.04,0.77,0.77,3.83,75.83,0,0.77,0.77,0,1.53,5.36,0,0,0.77,0,0,0.77,0,0,2.3,0.77,0
120,0,0,0,0,9.8,11.76,52.91,0,1.96,11.76,1.96,0,3.92,7.84,0,1.96,0,0,31.36,0,1.96,7.84,72.51,0,1.96,0,0,0,1.96,0,0,0,0,0,3.92,0,0,5.88,1.96,0
