stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,21.34,0,0,0,0,0,0.82,0
 36-46,0,0,0,0.81,0.81,0,0.81,0,0,0,42.7,0,0,0.81,0,0,2.42,0
 48-58,0,0,0.57,0,0,0,1.72,0,0,0,53.94,0,0,0,0,0,0.57,0
 60-70,0,0,2.94,2.94,0,0,0,0.98,0,0,101.1,0,0,0,0,0,1.96,0
 72-82,0,0,1.96,3.93,0,0,1.96,0,0,0,150.19,0,0,0,0,0,3.93,0
 84-94,0,1.06,2.12,13.81,0,0,0,1.06,1.06,0,93.46,1.06,0,1.06,0,0,0,0
 96-106,0,0,3.28,1.09,0,0,3.28,0,0,0,75.41,0,0,0,1.09,1.09,1.09,0
108-118,0,0,3.83,3.83,0,0,2.3,0.77,0,0.77,70.47,0,0,0,0,0,1.53,1.53
120,0,1.96,3.92,3.92,0,1.96,0,3.92,0,0,97.99,0,0,0,0,0,1.96,0
