stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,heart,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste
  3-4,39.53,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,202.28,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,36.8,0,23.66,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0.81,0,6.45,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0,0,0,0,10.9,0,0,0,0.57,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,39.26,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0.98,4.91,0,0.98,0,0,0,1.96,0.98,37.3,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,7.43,0,3.19,0,0,0,0,0,36.11,0,0,1.06,0,0,2.12,1.06
 96-106,0,0,0,1.09,5.46,0,0,0,0,0,1.09,0,30.6,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,3.06,0.77,2.3,0.77,0.77,0.77,0,0,52.09,0,0,0,0.77,0,0.77,0
120,0,0,0,3.92,3.92,0,0,0,0,0,0,0,29.4,0,0,0,0,0,0,0
