stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,24,0,0,1,0,0,0,0,4,0,273,95,7,0,0,0,0
 24-34,0,0,4.1,0.82,0,10.67,214.24,0,0,1.64,0,0,4.1,0.82,0,0,0.82,0,0,7.39,0,0,35.3,100.14,0.82,1.64,3.28,0,0,6.57,0,0,0.82,197.83,131.34,18.06,0,2.46,0,0
 36-46,0,0.81,2.42,0,0,13.7,423.78,0,0.81,3.22,0,0,1.61,0.81,0,0,0,0,0.81,4.83,0.81,0,27.39,84.6,0,1.61,0,0.81,0,4.83,0,0.81,0,164.36,15.31,20.95,0,1.61,0,0.81
 48-58,0,0,0.57,0.57,0,27.54,328.22,1.15,2.3,6.31,0,0,1.15,0,0,0,0,0,1.72,12.05,0.57,0,14.92,75.74,0.57,0,0.57,0,0,1.72,0,0,0.57,119.35,0,13.77,0,0.57,0,2.87
 60-70,0,0,1.96,0,0,30.43,233.6,0,0,7.85,0,0,0,0,0,0,0,0,0,9.82,0,0.98,17.67,42.21,0,0,0,0,0,1.96,0,0,0,88.34,0,2.94,0,0,0,0
 72-82,0,0,0.98,2.94,0,26.5,170.81,0,0,5.89,0,0,0,0,0,0,0,0,0,10.8,1.96,0.98,13.74,42.21,0,1.96,0,0,0,1.96,0,0,0,50.06,0,2.94,0.98,0.98,1.96,0.98
 84-94,0,0,3.19,3.19,0,14.87,196.48,2.12,0,7.43,1.06,0,1.06,0,0,1.06,0,0,0,11.68,1.06,0,19.12,25.49,0,1.06,2.12,0,1.06,6.37,0,0,0,81.78,0,4.25,1.06,1.06,1.06,1.06
 96-106,0,0,4.37,9.84,0,27.32,352.99,2.19,2.19,10.93,3.28,1.09,0,2.19,1.09,0,0,0,0,22.95,2.19,1.09,14.21,60.11,0,0,0,0,1.09,15.3,1.09,0,0,88.52,0,3.28,0,8.74,2.19,1.09
108-118,1.53,0,4.6,2.3,0.77,19.92,328.6,0.77,1.53,2.3,0.77,0,1.53,1.53,0,2.3,0,0.77,0,16.85,0.77,0.77,33.7,47.49,0.77,0.77,0.77,0,0.77,6.13,0,0,0,88.09,0,0.77,0,0,0,1.53
120,0,0,7.84,0,0,3.92,229.29,0,0,3.92,1.96,0,1.96,3.92,1.96,3.92,0,3.92,0,23.52,0,0,37.24,43.12,1.96,0,7.84,0,1.96,3.92,0,1.96,1.96,33.32,0,3.92,0,1.96,0,0
