stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,2.63,0,0,7.89,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,31,1,3,0,0,0,1,2,1,0,3,0,3,0,0,0,9,0,7,0,0,24,0,1,0,1,4,0,2,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,4.1,0,0.82,0,0,0.82,8.21,1.64,1.64,0,0,4.1,0,0,0,0,4.1,0,0.82,0
 36-46,0,0,0,0.81,0,0.81,0.81,0,0,0,0,0,0,4.83,0,0,0,0,0,8.06,0.81,0,0,0,3.22,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,1.15,0,5.74,1.15,0,0,0,0,0,0,2.3,0,4.02,1.72,0,0,11.48,0.57,0,0,0,1.15,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,3.93,0,2.94,1.96,0,0,10.8,0,0,0,0,3.93,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,5.89,0,0,1.96,0,0,0,0,3.93,0.98,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,3.19,2.12,0,1.06,2.12,0,0,1.06,6.37,0,3.19,0,0,0,3.19,0,0,0,0,1.06,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,8.74,1.09,0,1.09,2.19,0,0,0,0,1.09,21.86,1.09,1.09,1.09,0,0,8.74,0,0,0,1.09,4.37,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0.77,1.53,2.3,0,0.77,0.77,0,0,0.77,30.64,0,2.3,0,0.77,0,4.6,0.77,2.3,0,0,3.83,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,9.8,0,0,1.96,0,0,0,0,0,1.96,9.8,0,0,3.92,0,0,3.92,0,1.96,0,0,3.92,0,0,1.96,0,0,0,0,0
