stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,1278.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,1109.46,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,102.52,39.43,0,49.95,0,0,0,99.89,0,0,0,0,0,184.01,0,0,0,0,0,0,0,0,0,0,822.79,49.95,0,0,467.91,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,18.88,0,9.44,0,9.44,0,62.94,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,1195.85,34.62,0,0,519.25,0,0,0,0,25.18,0,12.59,0,0,0,0,0,0
 14-21,0,1,0,4,200,18,0,20,0,1,0,8,5,0,1,0,3,0,0,0,27,0,0,36,178,14,1,3,9,0,2,0,94,1,71,299,81,0,0,4,0,0
 24-34,0,0,0,3.28,10.67,1.64,0,11.49,0,6.57,2.46,5.75,5.75,0,9.85,0.82,0.82,0,0.82,0,40.22,0,0.82,32.83,112.46,4.93,3.28,0,0,0,0,0,0,0,10.67,22.16,54.18,0,0,13.13,0,1.64
 36-46,0,0,0.81,0,1.61,0,0,17.72,0,0.81,3.22,5.64,0,0,7.25,0,0,0,0,0.81,67.68,0,2.42,19.34,125.68,1.61,4.03,0,0,0,0,0,0,0,6.45,0,115.21,0,0,9.67,0,1.61
 48-58,0,0,0.57,0,2.87,0,0,49.35,5.16,0,3.44,13.77,0,0,10.9,0.57,0,0,0,2.87,60.82,0,0.57,13.2,94.68,1.15,6.31,0,0,0.57,0,0,0,0,4.59,0,80.33,0,0.57,5.74,0,7.46
 60-70,0,0,0,0,2.94,0,0,131.52,1.96,2.94,2.94,14.72,0,0,5.89,2.94,0.98,1.96,0,2.94,55.95,0,3.93,10.8,95.21,0.98,5.89,0.98,0,1.96,0.98,0,0,0,0.98,0,34.35,0,0,5.89,0,8.83
 72-82,0,0,0.98,0,13.74,1.96,0,355.36,5.89,0,4.91,46.14,0,0,6.87,5.89,0.98,1.96,0.98,7.85,145.29,0.98,6.87,24.54,248.36,0.98,8.83,0.98,0,3.93,0.98,0,0,0,0.98,0,50.06,0,9.82,12.76,6.87,6.87
 84-94,0,0,2.12,0,12.74,1.06,1.06,237.9,3.19,2.12,2.12,30.8,2.12,0,5.31,3.19,3.19,4.25,3.19,19.12,74.34,0,9.56,30.8,127.44,0,3.19,3.19,0,3.19,1.06,1.06,0,1.06,3.19,0,19.12,0,8.5,16.99,5.31,5.31
 96-106,0,0,1.09,0,24.04,5.46,2.19,306,7.65,7.65,4.37,41.53,1.09,0,9.84,7.65,1.09,1.09,0,10.93,84.15,0,2.19,26.23,147.53,1.09,14.21,2.19,0,6.56,3.28,1.09,0,1.09,3.28,0,15.3,2.19,17.49,27.32,8.74,5.46
108-118,0,0,0,0,19.92,3.83,11.49,288.77,6.13,3.83,2.3,39.83,6.13,0,1.53,14.55,1.53,10.72,1.53,20.68,84.26,0.77,7.66,32.94,173.11,0,6.89,0,0,6.13,0.77,0,0,0.77,6.13,0,13.02,3.06,23.74,16.09,3.06,7.66
120,0,0,0,0,17.64,1.96,5.88,199.9,7.84,1.96,3.92,29.4,0,0,1.96,17.64,0,3.92,0,7.84,76.43,0,9.8,29.4,150.9,0,3.92,0,0,3.92,1.96,0,0,0,1.96,0,25.48,0,9.8,9.8,9.8,0
