stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,15.73,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,48,10,0,12,0,0,0,3,2,1,0,2,0,0,0,0,19,0,0,12,55,1,0,1,3,0,7,0,28,8,1,18,35,0,0,8,0,0
 24-34,0,0,0,7.39,0.82,0,0.82,0,1.64,0,6.57,0,0,0,0,0,0.82,0,0,7.39,0,0,5.75,14.78,0,0,0.82,0,0,28.73,0,0,0.82,0,0,12.31,0,0,7.39,0,0
 36-46,0,0,0,6.45,0,0,1.61,0,2.42,1.61,4.83,0.81,2.42,3.22,0,1.61,0.81,0,0,26.59,0,0,10.47,23.36,0.81,3.22,4.03,0,0,24.98,0,0,0,0,0,10.47,0,0,8.86,0,0
 48-58,0,0,0,2.87,0,0,4.59,0,2.3,0.57,2.87,0,1.72,3.44,0,0,0,0.57,0,12.62,0.57,1.15,1.72,8.03,0.57,0,0.57,0,0,16.07,0,0,0.57,0,0,8.03,0,0,2.87,0,0.57
 60-70,0,0,0,5.89,0,0,3.93,0,4.91,1.96,13.74,0.98,0.98,8.83,1.96,0,1.96,0.98,0,40.24,1.96,0,7.85,15.7,1.96,2.94,0.98,0,0.98,21.59,0,0,0.98,0,0,3.93,0.98,3.93,4.91,0,0
 72-82,0,0,0.98,13.74,5.89,0,5.89,0,1.96,0.98,19.63,1.96,2.94,10.8,1.96,0.98,2.94,0,0,70.68,1.96,3.93,3.93,19.63,0,3.93,2.94,0,0.98,35.34,0,0,0.98,0,0,0,1.96,0,14.72,4.91,0
 84-94,0,0,0,38.23,1.06,0,2.12,1.06,10.62,1.06,7.43,3.19,4.25,11.68,1.06,2.12,1.06,0,0,57.35,3.19,3.19,3.19,8.5,1.06,0,2.12,0,0,86.03,0,0,2.12,0,0,1.06,2.12,3.19,12.74,3.19,0
 96-106,0,0,0,45.9,3.28,0,4.37,0,18.58,4.37,15.3,3.28,6.56,17.49,6.56,1.09,3.28,1.09,0,68.85,3.28,4.37,7.65,22.95,1.09,4.37,5.46,0,1.09,88.52,0,0,0,0,0,3.28,2.19,3.28,18.58,5.46,2.19
108-118,0,0,0,49.79,0.77,0.77,3.83,0.77,26.04,9.96,6.89,4.6,0.77,13.79,3.83,6.89,3.83,0.77,0.77,67.4,3.83,1.53,9.96,17.62,1.53,0,1.53,0,0.77,51.32,0,0,1.53,0,0,3.83,0,0.77,8.43,1.53,3.06
120,0,0,0,43.12,1.96,0,3.92,0,9.8,1.96,9.8,1.96,3.92,11.76,0,1.96,3.92,0,0,33.32,1.96,1.96,5.88,19.6,0,3.92,3.92,0,1.96,27.44,0,0,0,0,0,0,3.92,0,11.76,5.88,0
