stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,2,2,0,2,0,0,0
 24-34,0,0.82,6.57,4.93,0,0.82,0,0,0,0,0,0,0,0,9.85,0,0,0,0,0.82,11.49,0.82,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,7.25,1.61,0,0,0,0,0,0,0,0,0,0,20.95,0,0,0.81,0,0,33.03,0,0,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,8.61,21.8,0.57,0,0,2.3,0,0.57,0,0,0,0,20.66,0,2.3,0,0,0.57,47.05,0,0.57,1.72,0,0.57,0,0,0,6.31,0,0,0
 60-70,0,0,9.82,159.01,0.98,0,0,2.94,0,0,0,0,0,0,24.54,0.98,0.98,0,0,0,71.65,0,0,1.96,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,3.93,224.8,0,0,0.98,4.91,0,0,0,0.98,0,0,40.25,0,14.72,0,0.98,0,107,0,0,0,0,1.96,0,0,0,5.89,0.98,0,0
 84-94,0,0,15.93,192.23,2.12,1.06,0,1.06,1.06,0,0,0,0,0,29.74,0,2.12,0,0,1.06,59.47,0,0,0,0,3.19,0,0,0,4.25,0,0,0
 96-106,0,0,5.46,111.47,0,0,0,2.19,1.09,0,1.09,0,2.19,2.19,32.79,0,2.19,0,0,0,56.83,0,0,2.19,0,4.37,0,0,0,3.28,0,0,0
108-118,0,0,5.36,92.68,0.77,0,0,3.06,2.3,0,0,0,0,0,27.57,0,5.36,0,0,0,49.79,0,0,0,0,2.3,0,0,0.77,1.53,0,0,0
120,0,0,3.92,62.71,0,3.92,0,3.92,3.92,0,0,1.96,0,1.96,25.48,0,1.96,0,0,0,70.55,0,0,0,0,1.96,0,0,0,3.92,0,1.96,1.96
