stage,axial,blastomeres,epidermis,eye,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,1,1,0,1,0,0,1,0,3,9,0,0,0,0,1,3,1,0,0,0
 24-34,0,0,2.46,0.82,0,0,0,0,0.82,0,0.82,0,0,18.06,0,0,0.82,0,0,0,1.64,0.82,0,0
 36-46,0,0,0,3.22,0,0,0,0,0,0.81,0.81,0,0,6.45,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.72,0.57,0,0.57,0,0,0,2.3,0,0,5.16,0.57,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,4.25,0,1.06,1.06,0,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0.77,0,0,0,0,0,0,2.3,0,0.77,1.53,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0
