stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,3.22,0,0,6.45,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,6.31,0,0,1.15,2.3,0,0,0,0,0,0,0,3.44,0,0,0.57,8.61,0,0,22.38,0,0,0,0,2.87,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,10.8,0,0,0.98,1.96,0,0,0,0,0,0,0,6.87,0,0.98,1.96,8.83,0,0,44.17,0,0.98,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0.98,2.94,4.91,0,27.49,0,0.98,0,6.87,0,0,3.93,0,0,0,1.96,24.54,0,1.96,3.93,44.17,0,1.96,98.17,0,1.96,0,0,5.89,1.96,0.98,1.96,0,1.96
 84-94,0,0,0,2.12,2.12,0,18.05,0,0,2.12,9.56,1.06,0,0,0,2.12,0,0,13.81,0,0,1.06,24.43,2.12,2.12,105.14,0,13.81,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,26.23,13.11,0,48.09,1.09,4.37,0,21.86,5.46,2.19,4.37,2.19,1.09,1.09,10.93,49.18,3.28,4.37,5.46,106.01,0,1.09,139.88,1.09,25.14,0,1.09,4.37,3.28,2.19,7.65,2.19,2.19
108-118,0,0,0.77,16.85,6.13,0.77,36,0.77,3.06,2.3,22.21,0,0,5.36,0.77,1.53,2.3,3.06,33.7,3.06,1.53,4.6,79.66,2.3,4.6,149.36,0,15.32,0,0,1.53,1.53,1.53,3.06,0.77,3.06
120,1.96,0,0,27.44,7.84,1.96,9.8,0,1.96,3.92,7.84,3.92,0,1.96,1.96,1.96,5.88,1.96,19.6,0,0,9.8,64.67,1.96,3.92,135.23,0,5.88,0,0,0,0,1.96,1.96,0,3.92
