stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,18.39,367.78,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.08,22.03,0,0,40.91,0,0,3.15,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,1,16,1,5,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,6,82,5,4,0,1,0,0,0,8,2,1,3,43,0,0,0
 24-34,0,0,0,0,2.46,0.82,17.24,0,0.82,0,8.21,0,0,0,0,0,0,0,0,0,13.13,0,0,5.75,116.56,0.82,6.57,2.46,0,0,0.82,0,0,1.64,0,2.46,26.27,0,0,0
 36-46,0,0,1.61,0,2.42,0,31.42,0,0,0.81,8.86,0,0,0,0,0,0,0,0,0,20.95,0,0,4.83,152.27,0,6.45,0.81,0,0,0.81,0,0,0,0,0,24.17,0,0.81,0
 48-58,0,0,0,0,0,0,59.68,0,0,0,10.33,0,0,0,0.57,0.57,0.57,0,0,0,23.53,0,1.15,1.72,107.88,0,1.15,0,0,0,0,0,0,0,0,0,18.94,0,0.57,0
 60-70,0,0,0,0,0,0,104.04,0,0,1.96,10.8,0,0,0.98,0,0,0,0.98,0,0,26.5,0,0.98,0,132.51,0,3.93,2.94,0,0,4.91,0,0,0,0,0,16.69,2.94,0.98,0
 72-82,0,0,1.96,0,3.93,0,119.76,0,0,0.98,16.69,0.98,0,0,0.98,0.98,0.98,0.98,0.98,0,30.43,0,0.98,0.98,146.27,0,7.85,4.91,0,0,1.96,0,0,0,0,0,7.85,0.98,0,1.96
 84-94,0,0,0,0,3.19,1.06,111.51,0,1.06,0,14.87,0,0,1.06,0,0,1.06,0,0,1.06,16.99,0,3.19,1.06,52.04,0,3.19,4.25,0,0,3.19,0,0,1.06,0,0,6.37,0,0,1.06
 96-106,0,0,2.19,0,0,0,78.68,0,1.09,0,7.65,1.09,0,1.09,1.09,0,0,0,2.19,0,20.76,0,0,1.09,43.71,0,5.46,6.56,0,1.09,1.09,0,0,0,0,0,2.19,0,4.37,0
108-118,0,0,0.77,0,3.83,0.77,49.02,0.77,0.77,0,6.89,0.77,0,0,0,0.77,0,1.53,0,0,11.49,0.77,0.77,0.77,54.38,0,3.83,2.3,0,0,2.3,0,0,0.77,0,0,1.53,0.77,1.53,0
120,0,0,0,0,3.92,0,80.35,0,0,0,7.84,1.96,0,0,1.96,0,1.96,0,0,0,7.84,0,1.96,3.92,82.31,1.96,1.96,3.92,0,1.96,3.92,0,0,0,0,0,0,0,0,1.96
