stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,3,3,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,0.82,0,9.03,0,0,0,0,0,0,4.1,2.46,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,3.22,0,11.28,0,0,0,0,0,0,2.42,0.81,0
 48-58,0,0,0.57,2.3,0,0,1.72,0,0,0,0,2.87,0,7.46,0,0,0,0,0,0,1.72,1.15,0
 60-70,0,0.98,0.98,5.89,0,0.98,1.96,0,2.94,0,0,8.83,0,9.82,0,0,0,0,0,0,0.98,0,0
 72-82,0,0.98,0,7.85,0.98,0,4.91,0,0.98,0,0.98,15.71,0,23.56,1.96,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,8.5,0,0,2.12,0,3.19,0,1.06,6.37,0,16.99,2.12,0,0,1.06,0,0,1.06,1.06,0
 96-106,0,1.09,0,6.56,0,0,1.09,3.28,10.93,0,1.09,8.74,0,16.39,2.19,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,2.3,0,0,0,1.53,2.3,1.53,3.06,6.13,0,9.19,0.77,0,0,0,0,0,1.53,0,0
120,0,0,1.96,5.88,0,0,0,0,3.92,0,1.96,5.88,0,3.92,0,0,1.96,0,0,0,1.96,0,0
