stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,3,0,0,0,6,0,3,0,0,3,0,1,6,0,0,1,0,0,2,1,13,0,0,0,0
 24-34,0,0.82,0,0,0,1.64,0,1.64,0,0,1.64,0,2.46,1.64,0,0.82,0,0,0,2.46,0,5.75,0,0.82,0,0
 36-46,0,0,0,0.81,0,2.42,0,0.81,0,0,4.83,0,0,2.42,0,2.42,0,0,0,1.61,0,5.64,0,0,0,0
 48-58,0,0,0.57,0,0,1.15,0,1.15,0,0,2.87,0,1.15,1.72,0,2.87,0.57,0,0,1.15,0,5.16,0,0,0,0.57
 60-70,0,0,0,0,0,2.94,0,0,0,0,4.91,0,0,0,0,1.96,0,0,0,0.98,0,7.85,0,0,0,0
 72-82,0,0.98,6.87,0,1.96,14.72,0.98,0,0,0,23.56,0,0.98,7.85,0,4.91,0,0,0,0,0,6.87,0,0.98,0,0
 84-94,0,0,3.19,0,0,4.25,0,0,0,1.06,4.25,0,2.12,3.19,0,6.37,2.12,0,0,4.25,0,4.25,0,0,2.12,0
 96-106,0,1.09,5.46,2.19,0,16.39,0,0,0,0,7.65,0,1.09,5.46,0,6.56,0,0,0,4.37,0,7.65,0,1.09,0,0
108-118,0,0.77,2.3,0,0.77,8.43,0,0,0,0.77,7.66,0.77,0.77,3.06,0,3.83,2.3,0,0,3.06,0,2.3,0,0,0,0
120,0,0,9.8,1.96,0,7.84,0,0,1.96,0,7.84,0,0,1.96,0,1.96,0,0,0,3.92,0,3.92,1.96,0,0,0
