stage,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0,0,2.46,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,1.72,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,0.98,0,0,0.98,3.93,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0.98,0,0,2.94,2.94,0,0,0,0.98,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,2.12,2.12,0,1.06,1.06,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,3.28,0,0,0,0,0
108-118,0.77,0.77,0,0.77,0.77,0.77,0,2.3,0,0,1.53,6.13,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,3.92,1.96,0,1.96,1.96,0,0,0,0,0
