stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.49,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,13.95,0,0,0.82,0,0,0.82,0,0,34.48,1.64,0.82,0,0,0,0,0,0.82,26.27,0,7.39,0,0,10.67,0,0.82,6.57,0,0,0,0,0
 36-46,0,0,0,0,5.64,0,1.61,1.61,0,0,0,0,0,41.89,0.81,3.22,0,0,1.61,0,0,0,50.76,0,15.31,0,0,13.7,0,1.61,11.28,0,0,2.42,0,0
 48-58,0,0,0,0,9.18,0,5.16,2.87,0.57,0,0,0,0,39.02,1.15,2.3,0,1.72,2.3,0,0,0,60.25,0.57,9.75,1.15,0,17.21,0,0,13.2,0,0,0,0,0
 60-70,0,0,0,0,17.67,0,9.82,3.93,0,0,1.96,0.98,0,48.09,1.96,2.94,0,0,2.94,1.96,0.98,1.96,63.8,0,11.78,0,0,24.54,0,0.98,13.74,0.98,0,0.98,0.98,0.98
 72-82,0,0,0,0.98,21.6,0.98,24.54,3.93,0,7.85,1.96,0,0,73.62,1.96,15.71,0,0,12.76,0,0.98,1.96,130.56,0,22.58,4.91,0,28.47,0,0,8.83,2.94,0,0.98,1.96,0
 84-94,0,0,2.12,0,40.36,0,10.62,11.68,0,5.31,15.93,0,0,77.53,4.25,0,0,1.06,7.43,1.06,0,1.06,70.09,2.12,14.87,2.12,0,65.85,0,1.06,4.25,2.12,0,0,3.19,0
 96-106,0,0,1.09,0,32.79,1.09,21.86,6.56,0,6.56,9.84,0,0,115.84,0,7.65,0,1.09,18.58,1.09,1.09,1.09,78.68,0,22.95,7.65,0,41.53,0,2.19,3.28,6.56,0,6.56,1.09,1.09
108-118,0,0,0.77,0,32.94,0,20.68,19.15,0.77,6.89,8.43,0,0.77,93.45,0.77,8.43,3.06,0,5.36,0,0.77,0.77,72.77,2.3,9.96,6.13,0,23.74,0,0.77,3.06,9.96,0,3.06,0.77,0
120,0,0,0,0,37.24,0,15.68,5.88,0,5.88,19.6,0,0,184.22,3.92,0,1.96,0,11.76,0,0,0,101.91,0,13.72,5.88,0,33.32,0,1.96,13.72,1.96,1.96,1.96,1.96,0
