stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,202.28,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,7.89,0,0,0,0,0,0,0,0,63.09,5.26,0,31.54,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0,56.65,0,0,22.03,0,3.15,3.15,3.15,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,5,3,0
 24-34,0,0,0,0.82,4.93,0,0.82,0,0,1.64,0,2.46,0,20.52,0,0,0,0,0,0,0,0,6.57,0
 36-46,0,0,0,0.81,1.61,0,0,0,0,0,0,0,0.81,10.47,0,0,0,0,0,0,0,0,4.83,0
 48-58,0,0,0,0.57,9.75,0.57,2.3,0,0,0,0,1.15,0.57,9.18,0,0,0,0,0,0,0,0,3.44,0
 60-70,0,0,0,0,5.89,0,2.94,0,0,0,0.98,1.96,0,3.93,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,1.96,0,0,0,0,5.89,0,2.94,0,0.98,0,0.98,0,0,0,0,1.96,0
 84-94,0,0,0,2.12,0,0,2.12,0,1.06,0,0,0,0,4.25,0,0,0,1.06,0,0,0,0,1.06,1.06
 96-106,0,0,0,1.09,1.09,0,3.28,1.09,0,0,0,5.46,0,3.28,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0,3.83,0,0,0.77,0,0,0,2.3,2.3,4.6,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,3.92,0,0,0,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0
