stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,7.89,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,25,4,0,5,0,0,0,1,0,0,8,0,0,0,0,0,0,18,0,0,20,29,33,0,1,0,0,0,9,1,77,61,19,0,0,3,0,0
 24-34,0,0,1.64,7.39,0,0,9.03,19.7,0.82,0,4.93,0,0,1.64,0,0.82,0,0,0,0,59.1,0,0.82,51.71,66.49,6.57,0.82,4.1,0,0,13.95,0,5.75,39.4,45.97,28.73,0,0,4.93,0,0.82
 36-46,0,0,0,7.25,0,0,11.28,33.03,0,5.64,6.45,0.81,0,4.83,0,0.81,0,2.42,1.61,1.61,80.57,0,0.81,49.15,49.15,6.45,0,4.83,0.81,0,12.09,0,1.61,24.17,4.03,20.14,0,0,6.45,0,0
 48-58,0,0,0,3.44,0,0,13.77,26.4,1.15,4.59,15.49,0,0.57,1.72,0,0,0.57,4.02,0,0,85.5,0.57,5.74,22.95,32.71,2.3,0,2.87,0,0.57,6.31,0,0,10.9,0,16.64,0,2.3,6.89,0,1.15
 60-70,0.98,0,0,4.91,0,0,20.61,31.41,4.91,3.93,48.09,0.98,0.98,6.87,0,0,0.98,2.94,0,0,115.82,0,6.87,17.67,28.46,0.98,0,6.87,1.96,0.98,4.91,0,1.96,11.78,0,9.82,0,9.82,3.93,7.85,0
 72-82,0,0,0,3.93,14.72,0,17.67,14.72,1.96,8.83,41.23,1.96,0,1.96,1.96,1.96,0.98,6.87,2.94,0,144.3,0,4.91,25.52,29.45,0.98,0.98,11.78,0,1.96,5.89,0,1.96,9.82,0,12.76,0,6.87,9.82,15.71,0
 84-94,0,0,0,14.87,7.43,0,30.8,35.05,7.43,2.12,32.92,4.25,0,1.06,0,2.12,3.19,3.19,2.12,0,78.59,0,7.43,14.87,21.24,3.19,0,29.74,0,0,11.68,0,0,16.99,0,9.56,1.06,2.12,2.12,15.93,0
 96-106,0,0,0,13.11,21.86,1.09,21.86,18.58,4.37,4.37,42.62,1.09,0,6.56,0,1.09,1.09,12.02,1.09,0,86.33,0,8.74,16.39,27.32,0,5.46,32.79,0,0,20.76,0,1.09,18.58,0,13.11,0,14.21,7.65,30.6,0
108-118,0,0,0,15.32,7.66,4.6,27.57,29.11,4.6,3.06,21.45,1.53,0,2.3,0,2.3,4.6,9.96,1.53,0.77,62.81,0,2.3,13.79,18.38,5.36,0.77,17.62,0,1.53,8.43,0,0.77,24.51,0,4.6,0.77,7.66,8.43,15.32,0
120,0,0,0,39.2,11.76,3.92,17.64,27.44,11.76,5.88,13.72,0,0,0,1.96,1.96,1.96,5.88,3.92,0,86.23,0,1.96,11.76,17.64,5.88,1.96,33.32,0,0,15.68,1.96,1.96,11.76,0,5.88,1.96,3.92,3.92,23.52,0
