stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,21,0,1,0,1,0,0,1,1,5,0,0,0,0,0
 24-34,0,0,4.93,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.95,0.82,22.16,0,0,0,0.82,0,0,33.66,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,12.89,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,733.16,0,9.67,0,0,0,0,0,0,58.81,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0.57,55.09,0,0,38.44,0,0,0,0,0.57,0,0,0.57,2.3,0,0,1189.5,0,13.77,0.57,0,0.57,0.57,0,0,140.01,0,0,0,0,0
 60-70,0,0,0.98,0,2.94,0,106.99,0,0.98,32.39,0.98,0,0,0.98,0,0,0,0,4.91,0,0,1332.91,0,6.87,0,0,0,0.98,0,0,99.13,0,0,0.98,0,0
 72-82,0,0,7.85,0,5.89,1.96,226.76,0,0,60.86,4.91,0,0.98,0,0,0.98,0,1.96,10.8,0.98,0,1701.22,0,17.67,0,0,1.96,0,0,0,102.09,0,0,0,0.98,0.98
 84-94,0,0,2.12,0,4.25,0,110.45,1.06,0,19.12,4.25,0,1.06,1.06,0,1.06,0,0,5.31,3.19,0,478.98,0,8.5,1.06,0,0,0,0,0,42.48,1.06,1.06,0,0,0
 96-106,0,0,4.37,0,4.37,2.19,69.94,0,0,21.86,4.37,0,0,0,0,1.09,1.09,2.19,14.21,1.09,1.09,422.93,0,12.02,1.09,0,0,0,0,0,19.67,0,0,1.09,0,0
108-118,0,0,2.3,0,4.6,0,41.36,0.77,0,11.49,1.53,0,0,0,0,0,0,2.3,9.19,0,0,427.41,0,8.43,1.53,0,0,0,0,0,7.66,2.3,0.77,2.3,0,0
120,0,0,0,0,7.84,0,78.39,0,0,9.8,0,0,0,1.96,0,0,1.96,3.92,7.84,0,1.96,495.83,0,7.84,0,0,0,3.92,0,0,13.72,0,0,0,0,0
