stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,72,123,0,4,0,0,0,18,1,0,8,32,0,5,14,0,6,304,0,0,284,470,3,7,50,0,7,26,2,0,74,262,0,0,93,0,18
 24-34,1.64,0,0.82,2.46,84.55,19.7,0,40.22,0.82,4.1,13.95,13.13,2.46,0.82,23.8,91.94,3.28,34.48,88.65,6.57,65.67,1222.25,2.46,3.28,645.19,433.41,4.1,67.31,48.43,0.82,63.21,5.75,2.46,2.46,11.49,132.98,0,0,327.52,0,138.72
 36-46,0,0,0,0,39.48,2.42,0,28.2,1.61,23.36,58.81,12.09,0,0.81,33.84,107.15,1.61,41.89,78.96,9.67,65.26,1554.14,3.22,16.92,494.68,349.66,3.22,46.73,16.92,1.61,43.51,4.83,1.61,3.22,0.81,109.57,0,2.42,228,0.81,207.06
 48-58,1.15,0,0,0,24.1,3.44,0,68.86,1.15,22.95,82.05,22.38,0.57,1.15,29.84,91.81,2.3,62.54,70,8.61,37.3,1836.18,1.15,27.54,329.94,304.12,3.44,32.13,16.64,1.72,24.67,0,0,0.57,0,114.76,0,7.46,172.14,2.3,232.39
 60-70,0.98,0,0.98,0,35.33,3.93,0,82.45,1.96,23.56,73.61,42.21,1.96,0,18.65,110.91,0.98,111.89,78.52,12.76,36.32,2328.17,4.91,60.85,241.45,266.97,7.85,38.28,16.69,16.69,24.54,0,0.98,0,0,63.8,0.98,36.32,148.21,11.78,256.18
 72-82,0,0,1.96,2.94,50.06,13.74,0,264.07,2.94,31.41,134.49,160.99,8.83,0,30.43,145.29,2.94,125.65,106.02,14.72,28.47,3094.2,4.91,99.15,270.94,436.84,13.74,61.84,18.65,26.5,47.12,0,0,1.96,0,60.86,3.93,76.57,203.2,65.77,273.88
 84-94,1.06,0,0,3.19,81.78,11.68,1.06,368.53,4.25,42.48,101.96,133.82,8.5,0,23.36,159.31,4.25,154,154,11.68,57.35,2331.17,3.19,107.27,247.45,263.39,10.62,145.5,21.24,23.36,118.95,0,2.12,1.06,0,50.98,9.56,70.09,233.65,56.29,226.21
 96-106,1.09,0,2.19,2.19,159.56,19.67,3.28,350.8,7.65,41.53,81.96,284.14,22.95,0,34.97,217.48,7.65,143.16,181.41,22.95,42.62,2480.76,6.56,96.17,243.7,464.46,19.67,198.9,34.97,41.53,115.84,0,9.84,0,0,48.09,19.67,75.41,284.14,81.96,229.5
108-118,0.77,0,0.77,3.06,101.87,10.72,3.06,133.28,0.77,44.43,86.55,232.85,17.62,0,18.38,173.11,7.66,192.26,154.72,19.15,65.11,2628.02,7.66,80.43,265.02,345.45,16.85,147.83,31.4,48.26,96.51,0,3.83,0.77,0,30.64,19.92,42.89,190.72,51.32,255.83
120,0,0,0,0,109.75,11.76,7.84,145.02,0,19.6,72.51,192.06,15.68,0,27.44,266.53,5.88,129.35,103.87,19.6,17.64,2273.35,3.92,84.27,231.25,311.61,21.56,90.15,23.52,33.32,47.03,0,0,0,0,17.64,11.76,72.51,166.58,64.67,113.67
