stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,1,5,0,10,8,0,0,0,0,29,0,5,4,0,1,0,0
 24-34,0,0,4.1,3.28,0,0.82,0,0,0,0,3.28,0,0,0,0,0,7.39,17.24,0,28.73,13.13,0,0,0,0,26.27,0.82,3.28,2.46,0,0,0,0
 36-46,0,0,0,1.61,0,4.83,0,0,0,0.81,0,0,0,0,0.81,0,18.53,24.17,0,4.03,20.14,0,0,0,0,12.89,0,0,1.61,0,0,0,2.42
 48-58,0,0,0,0.57,0,26.97,0,0,0.57,2.87,0.57,0,0,0.57,4.02,0.57,14.35,20.08,0,4.02,26.97,0,0,0,0,6.89,0,0,6.31,0,0,0,2.3
 60-70,0,0,0,0,0,127.6,0,0.98,0,3.93,0.98,0,0,0,0.98,0,12.76,11.78,0,0.98,46.13,0,0,0,0,5.89,0,0,3.93,0,0,0,1.96
 72-82,0,0,0,2.94,0.98,275.85,0,0.98,0,15.71,5.89,0,0,0,7.85,0,8.83,15.71,0.98,2.94,63.81,0,0,0,0,6.87,0,0,8.83,0.98,0.98,0,0.98
 84-94,0,0,0,4.25,0,143.38,0,0,0,8.5,0,0,0,1.06,2.12,0,18.05,12.74,1.06,4.25,37.17,2.12,0,0,1.06,8.5,0,0,6.37,0,0,1.06,1.06
 96-106,0,0,0,6.56,0,142.07,0,0,0,8.74,5.46,0,1.09,0,0,0,10.93,5.46,0,0,29.51,2.19,0,1.09,1.09,8.74,0,0,4.37,0,0,3.28,0
108-118,0,0,0,2.3,0,123.32,0,0.77,0,13.02,4.6,0,0,0,0,0,10.72,2.3,0,1.53,29.11,0.77,0,0,0,6.13,0,0,1.53,0,0,0,0
120,0,1.96,0,7.84,0,84.27,1.96,1.96,0,5.88,3.92,0,0,0,0,0,1.96,9.8,0,0,43.12,0,0,0,0,5.88,0,0,1.96,0,0,0,0
