stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,6,0,0,0,1,0,0,0,0,0,0,3,0,0,2,18,0,0,1,0,0,0,1,0,4,2,0,0,0
 24-34,0,0,0,0,1.64,0,0,4.1,0,0.82,0,0,0,0.82,0.82,0,0,0,3.28,0,0,2.46,41.86,0.82,0,1.64,0,0,1.64,0,0,0.82,5.75,0,0.82,0
 36-46,0,0,0,0,0,0,0,5.64,0,0,0,0.81,0.81,0,0,0,0,0,6.45,0,0,2.42,74.93,0,1.61,0,0,0,1.61,0,0,0,13.7,0,4.03,0
 48-58,0,0,0,0,1.72,0,0,10.33,0.57,0,0.57,4.59,0.57,0,0,0,0,0,5.74,0,1.15,2.3,70.58,1.15,0,0,0,0,2.3,0,0,0,12.62,0,1.15,0
 60-70,0,0,0,0,1.96,0,0,12.76,0,0,0,12.76,1.96,0.98,0,0,0.98,0,6.87,0,0,0.98,109.93,0,0,0,0,0.98,1.96,0,0,0,13.74,0,1.96,0
 72-82,0,0,0,0,1.96,0,0.98,23.56,0,0,0.98,7.85,1.96,0.98,0,0,0,0,10.8,0.98,0,0,66.75,0,0.98,1.96,0,0,0.98,0,0,0,4.91,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,10.62,0,1.06,1.06,9.56,3.19,4.25,0,1.06,0,0,18.05,1.06,0,1.06,39.3,1.06,0,0,0,0,9.56,0,1.06,0,5.31,1.06,2.12,1.06
 96-106,0,0,1.09,0,0,1.09,0,10.93,0,1.09,2.19,9.84,0,3.28,0,0,0,0,10.93,0,0,0,29.51,1.09,0,1.09,0,0,16.39,0,0,0,2.19,1.09,1.09,0
108-118,0,0,0.77,0.77,6.89,0,3.06,9.19,0,0,0.77,6.13,0,6.13,0,0.77,1.53,0,6.13,0,0,3.83,35.23,0,0.77,0,0,0,5.36,0,0,0,1.53,0,0,0.77
120,1.96,0,0,0,7.84,1.96,0,7.84,0,1.96,0,1.96,0,3.92,0,0,0,1.96,5.88,0,0,3.92,37.24,0,0,0,0,1.96,3.92,0,0,0,1.96,0,1.96,0
