stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,3162.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,2709.3,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,6.13,0,0,24.52,0,49.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,52.57,70.98,0,105.15,0,0,155.09,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,1209.21,47.32,0,0,644.03,0,5.26,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,0,81.82,0,0,107,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,843.39,15.73,0,0,333.58,0,0,9.44,3.15,28.32,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,21,14,13,0,0,0,7,0,0,2,0,1,0,0,0,0,15,0,0,7,249,1,1,2,11,0,1,2,31,1,2,25,97,0,0,2,0,0
 24-34,0,0.82,0,0.82,12.31,2.46,50.89,0,0,0.82,7.39,0.82,0,0,1.64,0,0,0.82,0,0.82,25.45,0,0,13.13,450.65,0.82,4.93,6.57,0,0,1.64,0,0,0.82,0,4.93,102.61,0,0,7.39,0,0.82
 36-46,0,0,0,0,3.22,0.81,91.85,0,0,1.61,14.5,0,0,1.61,0,0,0.81,0.81,0,0,33.03,0.81,0,5.64,421.37,0,3.22,2.42,0,0,0.81,0,0.81,0,0,0,67.68,0,0,3.22,0.81,0
 48-58,0,0,0,0,2.87,0.57,165.26,0,1.15,2.3,18.94,0.57,0,0,0,1.15,0,0,0,1.15,49.35,0,1.72,9.18,464.21,0,2.3,1.72,0,0.57,1.15,0,0,1.15,0,0,76.89,0,0,1.72,0,0
 60-70,0,0,0,0,1.96,0,179.62,0,0,1.96,16.69,0.98,0.98,0,0,0,0,1.96,0,0,28.46,0,3.93,6.87,431.87,0.98,3.93,1.96,0,2.94,0.98,0,0,0.98,0,0,42.21,0.98,1.96,0,0.98,0
 72-82,0,0,1.96,0,11.78,0,159.03,0,0,2.94,18.65,0,0,0,0,0,0,0,0,0,72.64,0.98,4.91,4.91,367.14,0,7.85,1.96,0,1.96,1.96,0,0,0,0,0,28.47,0,0.98,0.98,1.96,0.98
 84-94,0,0,1.06,0,15.93,3.19,106.2,0,0,2.12,18.05,1.06,0,0,2.12,1.06,0,1.06,0,0,40.36,1.06,2.12,6.37,147.62,0,2.12,4.25,0,0,0,0,0,1.06,0,0,12.74,2.12,1.06,0,1.06,0
 96-106,0,0,1.09,0,5.46,2.19,65.57,2.19,0,1.09,17.49,0,0,0,2.19,1.09,0,5.46,1.09,0,29.51,0,1.09,3.28,123.49,1.09,4.37,5.46,0,0,0,0,0,0,0,0,4.37,0,1.09,2.19,2.19,0
108-118,0,0,1.53,0,6.89,1.53,41.36,0,0.77,3.06,24.51,1.53,0,0.77,0.77,0,1.53,2.3,0.77,0,38.3,0,0.77,4.6,164.68,1.53,2.3,2.3,0,0,0,0,0,0.77,0.77,0,8.43,0,0,1.53,0.77,0.77
120,0,0,3.92,0,9.8,0,56.83,0,0,1.96,17.64,0,0,0,0,0,5.88,1.96,0,0,15.68,0,0,5.88,146.98,0,1.96,9.8,0,0,3.92,0,0,1.96,0,0,1.96,0,0,1.96,0,0
