stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,9.85,0,0,0,1.64,0,0,0,0,0,0,0,4.93,0.82,0,1.64,61.56,0,0,0.82,0,0.82,0,7.39,0,0,0.82,0,0
 36-46,0,0,0,0,28.2,0,0,0.81,12.09,0,0,0,0,0.81,0,0,5.64,0,0,0,96.68,0,1.61,0.81,0,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,0,40.74,0,0,0,40.74,0.57,0.57,0.57,0,0.57,0.57,0,8.61,0,0.57,0.57,57.95,0,1.15,2.3,0,0,0,10.9,0,0,0,0,0
 60-70,0,0,0.98,0,44.17,0,0,0,54.97,0.98,0,0,0,0,0,0,11.78,0,0,0,53,0,1.96,3.93,0,0,0.98,6.87,0,0,0,0.98,0
 72-82,0,0,2.94,0,33.38,0,0,0.98,108.96,1.96,0,0,0,0,6.87,0,19.63,0.98,0,0.98,60.86,0,0.98,12.76,0,0,0,4.91,3.93,0,0,0.98,0.98
 84-94,0,1.06,2.12,1.06,40.36,0,1.06,0,96.65,4.25,0,0,1.06,0,8.5,1.06,11.68,0,1.06,0,73.28,0,0,10.62,0,0,0,7.43,1.06,0,0,4.25,0
 96-106,0,0,2.19,0,21.86,1.09,0,0,89.61,10.93,1.09,0,0,2.19,29.51,1.09,4.37,0,2.19,0,42.62,0,0,16.39,0,2.19,0,4.37,0,2.19,0,3.28,0
108-118,0,0,2.3,0,29.87,0,0.77,0,87.32,6.13,0.77,0,1.53,1.53,141.7,0,8.43,0,1.53,0,78.89,0.77,0,10.72,0,0,0,0.77,0.77,0.77,0.77,0,0.77
120,0,0,1.96,0,29.4,0,0,0,64.67,3.92,1.96,0,0,1.96,13.72,0,3.92,0,1.96,0,72.51,0,0,9.8,0,0,0,1.96,0,0,0,0,0
