stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,2.63,0,0,15.77,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,81.49,2.63,0,0,21.03,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,0,0,0,44.06,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,1,0,0,0,1,0,3,1,3,5,0,0,0
 24-34,0,0,0,0.82,0,3.28,0,0,0,0,0,0,0,0,0.82,0.82,1.64,0,0,0,21.34,0,0,0.82,0,1.64,0,0,0,0,9.03,0,1.64,0
 36-46,0,0,0,0,0,3.22,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0,0.81,23.36,0.81,0,0,0,1.61,0.81,0,0,0,6.45,0,0,0
 48-58,0,0,0,0,0,6.89,0,0,1.72,0,0,0.57,0,0,0,0,4.02,0,0.57,1.15,20.66,0,0.57,1.15,0,0,0,0,0,0,2.87,0,0.57,0
 60-70,0,0,0,0.98,0,7.85,0,0.98,2.94,0,0,0,0,0,0,0,0.98,0,0,0,22.58,0.98,2.94,0,0,0.98,0,0,0,0,4.91,0.98,0,0.98
 72-82,0,0,0,0.98,0,12.76,0,0,2.94,0,0,0,0,0.98,0,0.98,4.91,0.98,0,0.98,22.58,0,0.98,0.98,0,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,1.06,1.06,0,2.12,1.06,0,0,1.06,0,1.06,0,0,0,0,5.31,0,0,0,13.81,0,0,1.06,0,2.12,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,0,4.37,0,0,0,1.09,0,0,1.09,0,0,0,8.74,0,0,1.09,9.84,0,0,0,0,0,1.09,0,0,0,2.19,0,2.19,0
108-118,0,0,0,0.77,0,3.83,0.77,0,1.53,0,0,0,0.77,0.77,0,0.77,3.06,0,1.53,0,12.26,0,0.77,0.77,0,2.3,0,0,0,0,2.3,0,1.53,0
120,0,0,0,3.92,0,0,0,0,5.88,0,0,0,0,0,0,0,5.88,0,0,0,11.76,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96
