stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,5.26,0,0,7.89,0,0,0,0,0,10.51,0,0,0,0,0,0,60.46,0,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,50.35,0,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,2,4,19,1,0,0,0,0,0,0,2,0,1,9,0,0,0,0
 24-34,0,0,0,0,0,6.57,0,0.82,0,0,0,0,0,0,0,0,5.75,4.1,55,0,0,0,0,0,0,0,0,0,1.64,13.95,0,0,0,0
 36-46,0,0,0,0,0,10.47,0,0,0,1.61,0,0,0,0,0,0,8.06,0.81,61.23,0,0,1.61,0,0,0,0,0,0,0,13.7,0,0.81,0,0
 48-58,0,0,0,0,0,8.61,0,0,0,3.44,0,0,0,0,0,0,5.74,1.72,20.66,0,0,0,0,0.57,0,0,0,0,0,8.03,0,0,0,0
 60-70,0,0,0,0,0,26.5,0,0,0,5.89,0,0,0,0.98,0,0,10.8,1.96,32.39,0,0,0,0,0,0.98,0,0,0,0,8.83,0,0.98,0,0
 72-82,0,0,0,0.98,0.98,8.83,0,0.98,0,1.96,0.98,0,0,0,1.96,0,7.85,0.98,11.78,0,0,1.96,0,0,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,1.06,0,7.43,0,0,1.06,2.12,0,0,0,0,0,0,3.19,0,8.5,0,0,4.25,0,0,0,0,0,0,0,2.12,1.06,0,0,0
 96-106,0,0,0,1.09,0,2.19,1.09,0,0,4.37,0,0,1.09,0,0,0,6.56,1.09,6.56,0,1.09,1.09,0,0,1.09,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,2.3,1.53,4.6,0,0,0,1.53,0,0,0,0,0,0.77,0.77,3.06,12.26,0.77,0,0,0,0,0,0,0,0,0,1.53,0,0.77,0,0.77
120,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,7.84,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
