stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,65.89,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,514.89,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,6.13,0,0,0,0,0
  7-9,7.89,5.26,18.4,0,13.14,0,0,0,0,0,0,0,220.81,2.63,0,0,94.63,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,18.88,0,0,0,0,0,0,0,173.08,3.15,0,0,37.76,0,3.15,0,12.59,0,0
 14-21,0,0,0,6,1,0,0,0,0,0,0,0,19,0,0,0,1,0,1,2,0,10,0
 24-34,0,0,0,0,22.16,2.46,0,0,0,13.13,0,0,72.24,0,0.82,0,0,0,0,0,0,15.6,3.28
 36-46,0,0,0,1.61,9.67,2.42,0,0.81,0,2.42,0,3.22,28.2,0.81,0,0.81,0,0,0,0,0,11.28,3.22
 48-58,0,0,0,1.72,13.77,1.15,0.57,0.57,0,3.44,0.57,1.15,14.92,0.57,1.15,0,0,0,0,0,0,2.87,0
 60-70,0,0,0,1.96,11.78,0.98,1.96,0,0.98,2.94,0,0,9.82,0,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,2.94,1.96,0,0,0,2.94,0,1.96,3.93,0,0,1.96,0,0,0,0,0,0,0.98
 84-94,0,0,1.06,1.06,4.25,1.06,0,0,1.06,7.43,0,0,2.12,1.06,0,0,0,0,0,0,0,1.06,2.12
 96-106,0,0,0,1.09,1.09,2.19,0,0,0,0,0,0,2.19,0,1.09,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0.77,3.06,0,0,0,0,0.77,0.77,0,5.36,0.77,0,0.77,0,0,0,0,0.77,0.77,0
120,0,0,0,0,1.96,5.88,1.96,1.96,0,13.72,0,0,13.72,0,1.96,0,0,0,0,0,0,0,0
