stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,276.74,4348.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,1887.93,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,24.52,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,7.89,23.66,0,0,60.46,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,620.38,23.66,0,0,215.55,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,40.91,0,6.29,100.7,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,953.53,15.73,0,0,286.37,0,3.15,15.73,0,40.91,0,0,3.15,0,0,0,0,0
 14-21,0,0,8,46,23,32,0,0,12,2,1,0,0,1,0,0,0,1,26,0,31,408,25,2,2,11,0,16,3,45,1,1,51,117,0,0,2,0,0
 24-34,0,0,0.82,16.42,1.64,91.94,0,1.64,12.31,0,0,1.64,3.28,0,1.64,1.64,0.82,0,50.07,0,22.98,485.95,5.75,1.64,4.93,0.82,0,32.01,0,0,0,0,4.1,97.68,0,0,12.31,0,3.28
 36-46,0,0,0,12.09,2.42,138.58,0,0,8.86,0.81,0,0.81,0,0,0,0.81,0,0,61.23,2.42,15.31,314.21,0.81,1.61,0,0,0,12.89,0.81,0.81,0,0,0.81,70.9,0,0,7.25,0,2.42
 48-58,0,0,0,11.48,0,138.86,0.57,1.72,13.77,0,0,0.57,0.57,0.57,0.57,1.72,0.57,0,75.17,3.44,11.48,131.4,1.72,1.72,2.87,0,0,2.87,0,0,0.57,0,0,25.25,0,0,2.3,0,1.15
 60-70,0,0,0,13.74,0,100.12,2.94,0,23.56,1.96,0,0,0.98,0,1.96,0.98,0.98,0,44.17,1.96,7.85,94.23,0,2.94,0.98,0,0.98,0.98,0,0,0,0,0,6.87,0,0,3.93,0,1.96
 72-82,0,0,0,15.71,0.98,30.43,0,0.98,15.71,3.93,0,0.98,0,0,0,0,0,0,56.94,4.91,9.82,65.77,0,4.91,2.94,0,0,0,0,0,0,0,0,0.98,0.98,1.96,4.91,0,0.98
 84-94,0,0,0,13.81,2.12,32.92,2.12,1.06,13.81,1.06,0,2.12,4.25,0,5.31,1.06,0,0,45.67,5.31,5.31,42.48,1.06,4.25,1.06,0,0,4.25,0,0,1.06,0,0,3.19,1.06,0,7.43,1.06,0
 96-106,0,0,0,8.74,3.28,22.95,0,0,16.39,4.37,0,1.09,5.46,1.09,2.19,0,1.09,1.09,28.41,1.09,7.65,53.55,0,5.46,2.19,0,0,4.37,0,0,0,0,0,1.09,0,0,4.37,0,0
108-118,0,0,0,13.02,0.77,19.92,1.53,0.77,10.72,1.53,0,0,0,0.77,2.3,0.77,0,0,21.45,3.83,7.66,55.92,0,2.3,0.77,0,0,6.89,0,0,0,0,0,0,1.53,0,2.3,0.77,0
120,0,0,0,9.8,0,17.64,1.96,0,21.56,1.96,0,3.92,3.92,1.96,0,0,0,0,19.6,1.96,3.92,52.91,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,1.96,1.96,0
