stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,4,0,0,0,0,2,0,0,0,0,0,0,44,0,0,23,19,0,1,0,0,0,1,1,1,3,0,0,0,0,0
 24-34,0,0,1.64,2.46,0.82,0.82,0,0,0,0.82,0.82,0,0,0,0,0,102.61,0,0,8.21,22.98,0.82,0,0,0,0,0,0,0,4.93,0,0,6.57,0,0
 36-46,0,0,0,3.22,0.81,0.81,0,0,0,0,0,0,0.81,0,0,0,136.96,0,8.86,13.7,12.09,0.81,0,0,0,0,0,0,0,1.61,0,0,5.64,0,0
 48-58,0,0,0,0.57,0,1.72,0,0,2.3,0,0,0,0.57,0,0,0,207.14,0,10.33,12.62,10.33,0.57,0,0,2.3,0,0,0,0,0.57,0,1.72,17.21,1.15,0
 60-70,0,0,0,0.98,0.98,0,0,0.98,0,0.98,0,0,0,0,0,0,263.05,0,33.37,7.85,9.82,0,0,0,5.89,0,0,0,0,0.98,0,9.82,15.7,10.8,0.98
 72-82,0,0,0,0.98,0,13.74,0,0,1.96,3.93,0.98,0,0.98,0,0,0,357.32,0,13.74,7.85,11.78,0,0,0,9.82,0,0,0,0,0,0,17.67,38.28,31.41,0
 84-94,0,0,0,0,0,21.24,2.12,0,3.19,4.25,0,0,0,0,0,0,249.58,0,13.81,3.19,4.25,0,0,0,4.25,1.06,0,0,0,0,0,16.99,42.48,24.43,0
 96-106,0,0,0,2.19,0,16.39,0,1.09,1.09,1.09,0,0,0,0,1.09,1.09,249.17,0,6.56,2.19,10.93,0,0,0,13.11,1.09,0,0,0,0,0,8.74,42.62,33.88,1.09
108-118,0,0,0,0.77,0.77,6.13,0,0.77,0.77,0,0,0,0,0.77,0,0,198.38,0,4.6,0.77,11.49,0,1.53,0,11.49,0,0,0,0,0,0.77,7.66,30.64,22.21,0
120,0,0,0,1.96,0,5.88,1.96,0,1.96,0,0,0,0,0,1.96,0,188.14,1.96,1.96,5.88,7.84,0,0,1.96,7.84,0,0,0,0,0,0,7.84,33.32,27.44,0
