stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste,vasculature
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,2,5,0,0
 24-34,0,0.82,0,1.64,0,0,0,0,0,0,0.82,0,1.64,39.4,0,0.82,0,0,0,0,0,4.1,0,0
 36-46,0,0.81,0,0,0,0.81,1.61,0,0,0.81,2.42,0,0.81,52.37,0,3.22,0,0,0.81,0,0,8.86,0,0
 48-58,0,0,0,4.02,0,0.57,2.3,0,0,0,0.57,0,0,50.49,0,1.72,0,0,0,0,0,8.03,0,0
 60-70,0,0,0,12.76,0,0,0,0,0,0,0.98,0,0,106.99,0,1.96,0,0,0,0,0,1.96,0,0
 72-82,0,0.98,1.96,18.65,0,0,4.91,0,0,0,4.91,0,1.96,182.59,0,1.96,0,0,0,0,0,3.93,0,0
 84-94,0,0,1.06,21.24,1.06,0,5.31,0,0,0,1.06,0,0,91.34,1.06,5.31,0,0,0,0,0,1.06,0,0
 96-106,0,2.19,2.19,24.04,0,0,3.28,0,0,0,4.37,1.09,1.09,122.4,0,2.19,1.09,0,2.19,0,0,0,0,1.09
108-118,0,0.77,0,26.81,0,0,3.06,0,1.53,0,3.06,0.77,0,130.21,0,3.06,0,0,0.77,0,0,1.53,1.53,1.53
120,0,0,0,48.99,0,0,5.88,1.96,0,0,7.84,0,0,209.7,0,1.96,0,0,0,0,0,5.88,0,0
