stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,15.77,0,13.14,0,0,15.77,0,0,0,0,7.89,0,0,0,0,0,0,0,0,149.84,10.51,0,0,60.46,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,3.15,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,195.11,9.44,0,0,56.65,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,11,0,0,0,0,1,3,0,3,2,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0.82,12.31,0,0,0,0,0.82,0,0.82,2.46,4.93,0.82,0
 36-46,0,0,0,0,2.42,0,4.03,0,0,0,0,0,0.81,0,0,0,0,0,0,0,9.67,0,0,0.81,0,0,0,0,0,4.03,0,0
 48-58,0,0,0,0,0,0,7.46,0,0,0.57,0,0,0,0,0,0,0,2.87,0,0,15.49,0,0,0,0,1.15,0,0,0,4.59,0,0
 60-70,0,0,0,0,0,0,12.76,0,0,1.96,0,0,0,0,0,0,0.98,1.96,0,0.98,8.83,0,0,0.98,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,5.89,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,11.78,0,0.98,1.96,0,0.98,0,0,0,2.94,0.98,0
 84-94,0,0,0,0,0,0,9.56,0,0,1.06,0,0,0,0,0,1.06,0,4.25,1.06,0,4.25,0,0,0,0,1.06,0,0,0,2.12,0,1.06
 96-106,0,0,0,0,1.09,0,10.93,0,0,0,1.09,0,0,2.19,0,0,0,2.19,0,0,9.84,0,0,0,0,0,0,0,0,2.19,1.09,0
108-118,0,0,0,0,0,0,1.53,0.77,0,0,0,0,0,0,0,0,0,0.77,0,0,3.06,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
