stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.32,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,16,1,0,0,0,0,0,0,0,0,119,0,1,0,1,13,0,1,6,0,0,0,0,0,5,1,1,3,0,0,0,0
 24-34,0,0,15.6,0,1.64,0,0.82,0,0,0.82,0.82,0,184.69,0,0,0,0.82,28.73,0,0,13.13,0,0,0,0,0,5.75,2.46,0,0.82,0,0.82,0,0
 36-46,0,0,12.89,0,0,0,2.42,0.81,0.81,0,0.81,0,78.96,0,0,0,1.61,12.09,0,0,5.64,0,0,0,0,0,0.81,0,0,1.61,0,0.81,0,0
 48-58,0,0,16.07,0,4.59,0,1.72,0,0.57,0,0,0,41.31,0,0,0.57,1.72,11.48,0,1.15,8.61,0,0.57,0,0,0,1.15,0,0,0.57,0,0,0,0.57
 60-70,0,0,16.69,0,0.98,0,1.96,0,0,0,0,0,50.06,0,0.98,0.98,0,9.82,0,0,5.89,0,0,0,0,0,2.94,0,0,0.98,0,0,0,0
 72-82,0,0,18.65,0,5.89,0,0.98,0,0.98,0,0,0,123.69,0,0,0,0,6.87,0.98,0,5.89,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,46.73,0,3.19,0,7.43,1.06,2.12,0,0,0,191.17,0,1.06,0,1.06,14.87,0,0,6.37,0,3.19,1.06,0,0,3.19,0,0,2.12,0,1.06,0,0
 96-106,0,0,67.76,0,4.37,0,2.19,1.09,1.09,0,1.09,0,242.61,0,7.65,0,4.37,13.11,0,0,6.56,0,4.37,0,0,1.09,1.09,0,0,0,1.09,0,1.09,0
108-118,0,0,64.34,1.53,0,0.77,0.77,0.77,0.77,0,0,1.53,213.7,0.77,4.6,0,4.6,12.26,0,0,6.13,0,1.53,0.77,0,0,6.13,0,0,0,0.77,0,0,0
120,0,0,43.12,1.96,0,0,0,0,5.88,0,0,0,131.31,0,3.92,1.96,1.96,5.88,0,0,9.8,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0
