stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,74,3,0,0,0,0,0,2,4,0,0,6,1,0,1,0,0,5,0,0,2,16,4,0,0,0,1,2,1,0,3,16,0,0,3,0,0
 24-34,0.82,0,66.49,0.82,0,18.88,0,7.39,0.82,2.46,2.46,0,0.82,9.85,1.64,0,1.64,0,0,27.91,2.46,0,10.67,230.66,7.39,2.46,5.75,0,71.41,0,0,0.82,6.57,36.94,0,0,8.21,0,0.82
 36-46,0,0,24.17,0.81,0,12.09,3.22,17.72,2.42,6.45,2.42,0,1.61,27.39,0,0,0,0,0.81,9.67,0.81,1.61,4.03,149.05,4.83,1.61,4.03,0,45.12,0,4.03,3.22,0.81,20.14,0,0,8.06,0,1.61
 48-58,0,0,17.79,0.57,0,17.79,2.3,16.64,1.15,2.3,1.15,0.57,0,37.87,0.57,2.3,0.57,0,0.57,5.16,0.57,0,2.87,64.27,4.59,0.57,1.15,0,22.95,0,0.57,2.3,0,19.51,0,0,1.72,0,2.3
 60-70,0,0,32.39,6.87,0,59.87,1.96,38.28,0.98,12.76,0.98,0,0,42.21,0.98,0.98,0,1.96,0.98,33.37,0.98,2.94,3.93,106.99,2.94,0,0.98,0,46.13,0,0,0.98,0,10.8,0,0,0.98,0,0.98
 72-82,0,0.98,10.8,12.76,0,51.05,1.96,6.87,2.94,18.65,2.94,0,0,63.81,1.96,1.96,0.98,1.96,0,57.92,1.96,2.94,0.98,95.22,1.96,0,0,0.98,47.12,0,0,0,0,6.87,0,5.89,7.85,3.93,3.93
 84-94,0,0,24.43,1.06,1.06,21.24,0,14.87,1.06,3.19,2.12,0,0,84.96,1.06,0,1.06,0,0,20.18,1.06,0,1.06,24.43,2.12,0,0,1.06,35.05,0,1.06,0,0,5.31,1.06,1.06,2.12,3.19,0
 96-106,0,0,72.13,4.37,1.09,25.14,2.19,33.88,2.19,4.37,5.46,0,2.19,98.36,1.09,0,2.19,1.09,0,29.51,1.09,0,3.28,41.53,2.19,2.19,2.19,0,30.6,0,3.28,0,0,0,0,2.19,3.28,3.28,0
108-118,0,0,33.7,6.13,9.19,19.92,0,55.15,1.53,6.13,1.53,0,0,88.09,1.53,0,0,0.77,0,25.28,2.3,0.77,0.77,26.04,1.53,0,2.3,0.77,21.45,0,0,0.77,0,0.77,0.77,0.77,2.3,2.3,0.77
120,0,0,33.32,3.92,1.96,45.08,0,39.2,0,7.84,5.88,0,0,74.47,0,0,0,1.96,0,33.32,0,1.96,13.72,47.03,3.92,0,3.92,0,37.24,0,1.96,0,0,1.96,1.96,1.96,1.96,1.96,1.96
