stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,7,2,0,30,0,0,0,6,1,0,0,0,0,0,0,1,4,4,0,6,116,1,1,4,0,0,2,2,6,69,0,0,1,0,1
 24-34,2.46,5.75,0.82,0,41.04,0,0,0,7.39,0.82,0,0.82,0.82,0.82,0,0.82,1.64,0,16.42,0,9.85,218.35,0.82,2.46,3.28,0,3.28,0,0.82,2.46,45.97,0,0,8.21,0,4.1
 36-46,0,0.81,0,0,20.14,0,0.81,0,4.83,0,0.81,0,0,0,1.61,0,0,0,12.09,0,1.61,107.15,1.61,0,1.61,0,2.42,0,0,0,26.59,0,0,5.64,0,4.83
 48-58,0,1.72,0,0,23.53,0,0,0.57,6.89,0.57,4.02,0,0.57,0,0,0,0,0,8.61,0,1.15,45.9,0,0,1.15,0,1.15,0,0,0,16.64,0,0,1.72,0,2.87
 60-70,0,4.91,0.98,0,61.84,0,0,0,17.67,0,0,0.98,0.98,0,2.94,0,0,1.96,44.17,0,2.94,65.76,0,0,2.94,0.98,1.96,0,0,0,17.67,0,0,2.94,0.98,6.87
 72-82,0,3.93,0,0,49.08,0,1.96,0,33.38,0.98,1.96,1.96,0,0.98,4.91,0,0,0.98,46.14,0,2.94,62.83,0,0,6.87,0,0,0,0.98,0,2.94,1.96,0.98,6.87,0.98,0
 84-94,0,11.68,0,0,52.04,0,1.06,0,24.43,1.06,3.19,1.06,1.06,5.31,4.25,0,1.06,3.19,41.42,0,0,46.73,0,0,1.06,0,24.43,0,2.12,0,4.25,2.12,2.12,6.37,0,7.43
 96-106,0,13.11,1.09,0,65.57,0,1.09,0,38.25,2.19,0,1.09,3.28,4.37,9.84,1.09,0,0,48.09,1.09,2.19,40.44,3.28,1.09,6.56,0,16.39,0,3.28,0,5.46,0,1.09,8.74,0,4.37
108-118,0,8.43,0,0,67.4,0.77,2.3,3.06,31.4,0,0,0,3.83,3.06,5.36,0.77,2.3,2.3,49.02,1.53,3.06,48.26,2.3,0.77,5.36,1.53,5.36,0,4.6,0,0.77,0,0,5.36,0.77,6.13
120,0,11.76,5.88,1.96,33.32,0,1.96,1.96,25.48,3.92,0,1.96,0,0,5.88,0,3.92,1.96,58.79,0,1.96,52.91,1.96,1.96,9.8,0,3.92,0,0,0,0,0,0,11.76,0,1.96
