stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,1594.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,128.72,2470.24,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0,12.26,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,39.43,23.66,0,44.69,0,0,65.72,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,838.56,13.14,0,0,239.21,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,15.73,0,3.15,50.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.14,12.59,0,0,144.76,0,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,4,26,6,13,0,0,4,0,0,0,0,1,0,0,0,0,15,0,0,12,217,3,3,3,6,0,0,22,4,14,65,0,0,1,0,0
 24-34,0,0,0,1.64,4.93,2.46,35.3,0.82,0,9.85,1.64,0,0,0.82,0.82,0,0.82,0,0,25.45,0,0,6.57,305.36,0.82,0.82,0,0,0,2.46,0,1.64,3.28,75.52,0,0,0.82,0,1.64
 36-46,0,0,0.81,0,0,0,27.39,0,0,6.45,0,0,0,0,0,0,0,0,0.81,13.7,0,0,2.42,101.51,0,0,0.81,0,0,0,0,0,0,24.17,0,0,2.42,0,0
 48-58,0,0,0,0,0.57,0,33.85,0,1.15,8.61,0,0,0.57,0,0,0,0,0,0,13.77,0,0.57,2.3,52.79,0.57,0.57,1.15,0,0,0.57,0,0,0,12.05,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,34.35,0,0,4.91,0,0,0,0,0,0,0,0,0.98,6.87,0.98,0.98,3.93,36.32,0.98,0,0,0,0,0.98,0,0.98,0,7.85,0,0,0,0,0.98
 72-82,0,0,0.98,0,3.93,0,13.74,0,0,11.78,0.98,0,0,0,0,0,0,0,0,19.63,0,0.98,2.94,25.52,0,1.96,1.96,0,0,0.98,0,0,0,0,0.98,1.96,1.96,0.98,0
 84-94,0,0,0,0,1.06,0,13.81,0,0,3.19,0,0,0,0,1.06,1.06,0,0,0,19.12,0,4.25,3.19,32.92,0,1.06,2.12,0,0,1.06,0,0,0,3.19,0,0,2.12,0,0
 96-106,0,0,0,0,1.09,0,8.74,0,0,5.46,1.09,0,0,1.09,0,1.09,1.09,1.09,0,5.46,0,0,3.28,13.11,1.09,1.09,3.28,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,6.13,0.77,0,4.6,1.53,0,0,0,0.77,0.77,0.77,0,0.77,11.49,0,0,3.83,21.45,0,1.53,2.3,0,0,0.77,0,0,0,0,0,0,1.53,0,0
120,0,0,0,0,7.84,0,9.8,0,0,7.84,0,0,1.96,0,0,0,0,1.96,0,7.84,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
