stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,33.66,0,1.64,4.1,0,1.64,0,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,0,0,0,52.37,0,0,11.28,0,0.81,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,4.02,1.15,8.03,0.57,0,0,0,0,0.57,65.41,0,0,5.74,0.57,1.15,0,0,2.3,0,0,0,0,0
 60-70,0,0.98,0,4.91,0,16.69,1.96,0,0,0,0,0,89.32,0,0,8.83,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0,14.72,0.98,34.36,1.96,0,0,0,0,0,131.54,1.96,3.93,16.69,0,0,0,0.98,0,0.98,0,0,0,0.98
 84-94,1.06,0,0,14.87,1.06,31.86,1.06,0,0,1.06,0,0,128.51,1.06,0,7.43,0,1.06,0,1.06,1.06,0,1.06,0,1.06,0
 96-106,1.09,1.09,1.09,8.74,2.19,18.58,2.19,1.09,0,0,1.09,0,99.45,0,0,10.93,0,0,0,2.19,0,0,0,0,1.09,0
108-118,0.77,0,0,3.83,0,25.28,0.77,0,0,0,2.3,0.77,119.49,0,0.77,6.13,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,7.84,3.92,0,1.96,0,0,0,103.87,0,0,5.88,1.96,0,0,0,0,1.96,0,0,0,0
