stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
 14-21,0,1,0,0,0,0,0,1,0,6,0,0,0,2,1,3,0,0
 24-34,0.82,1.64,0,0,0,0,0,2.46,0,8.21,0,0,0,0,0,2.46,0,0
 36-46,0,2.42,0,0,0.81,0,0,2.42,0.81,8.86,0,0,0,0,0,1.61,0,0
 48-58,0.57,3.44,0,0,2.3,0,0,1.15,0,2.87,0.57,0,0,0,0,2.3,0,0
 60-70,0,1.96,0,0,0,0.98,0,0.98,0,5.89,0,0,0,0,0,0.98,0,0
 72-82,0,4.91,0,0.98,1.96,0,0,2.94,0,4.91,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,1.06,0,1.06,0,0,3.19,0,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,0,1.09,0,0,2.19,1.09,2.19,0,0,3.28,0,0,0,0,0
108-118,0,0.77,0,0,0,0,0,1.53,0.77,3.83,0,0.77,0,0,0,0,0.77,0.77
120,0,1.96,0,0,3.92,0,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96
