stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,129.03,12.59,0,0,62.94,0,0,6.29,0,0,3.15,0,0,0
 14-21,0,0,0,3,19,4,0,2,0,0,0,102,1,0,0,0,1,0,11,2,125,3,7,20,8,0,8,92,0,5,317,0,0,0
 24-34,0,0,0.82,1.64,2.46,0.82,0,2.46,0,0,0.82,74.7,0,0,0,1.64,0.82,0,10.67,1.64,115.74,1.64,32.83,8.21,0,0,0,28.73,0.82,4.1,174.84,0,2.46,0
 36-46,0,0,0,0,2.42,0,0,4.83,0.81,0,2.42,44.31,1.61,0,0,1.61,0.81,0,8.06,4.03,140.19,0.81,31.42,4.03,0,0.81,0,8.06,0,0,101.51,0,1.61,0
 48-58,0,0,0,0,1.72,0,0,8.03,0,0.57,0,40.74,0,0,0,0.57,0,0.57,11.48,2.3,121.65,0,24.1,2.3,0,0.57,0,3.44,0,0,71.73,0,0,0
 60-70,0,0,0,0,1.96,0,0,14.72,1.96,0,0,36.32,0.98,0,0,1.96,0,0,4.91,1.96,132.51,0,29.45,0,0,0.98,0,1.96,0,0,30.43,0,0,0
 72-82,0,0,4.91,0,0,0,0,22.58,3.93,0,3.93,48.1,3.93,0.98,0,2.94,0,0.98,10.8,0,99.15,0,47.12,3.93,0,0,0,1.96,0,0,15.71,0.98,0,0
 84-94,0,0,2.12,1.06,1.06,1.06,1.06,27.61,8.5,0,1.06,31.86,2.12,0,0,3.19,0,0,8.5,2.12,74.34,1.06,39.3,11.68,0,3.19,0,6.37,0,0,15.93,0,1.06,1.06
 96-106,0,0,2.19,2.19,4.37,0,0,20.76,8.74,0,0,34.97,1.09,0,1.09,8.74,0,0,19.67,2.19,61.2,0,72.13,10.93,0,1.09,0,3.28,0,0,17.49,0,2.19,1.09
108-118,0,0,0.77,3.06,1.53,0,0,10.72,8.43,0,1.53,24.51,0.77,0.77,1.53,0.77,0,0,4.6,0.77,66.64,0,42.13,9.96,0,0,0,2.3,0,0,9.19,0,2.3,0
120,0,0,0,0,0,0,0,5.88,1.96,0,0,11.76,0,0,0,0,0,0,7.84,0,43.12,0,21.56,5.88,0,0,0,1.96,0,0,3.92,0,0,0
