stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,26.29,18.4,0,0,0,0,0,0
 10-12,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,3,0
 24-34,0,0.82,0,0,1.64,0,0,0,0,0,0,3.28,0,0,0.82,17.24,0,0,0.82,0,0.82,6.57,0
 36-46,0,0,0,0.81,5.64,0.81,0.81,0,0,0,0,2.42,0.81,0,0.81,20.95,0,0,0,0,0,5.64,0
 48-58,0,0,0,0,5.74,0,0,0,0,0,0,3.44,0,0,0,15.49,0,0,0,0,0,2.3,0.57
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,7.85,0,0.98,0.98,16.69,0,0,0,0,0,1.96,0.98
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,1.96,0,0,1.96,6.87,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,5.31,0,2.12,0,0,0,0,6.37,0,1.06,3.19,5.31,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,1.09,2.19,0,0,0,5.46,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,2.3,0,0.77,0.77,0,0,0,6.89,0,0,0.77,3.83,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,7.84,0,0,0,0,0,0,0
