stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,165.5,490.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,24.52,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,55.2,5.26,0,0,0,0,42.06,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,197.15,76.23,0,0,178.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,31.47,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,154.2,22.03,0,0,173.08,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,22,5,16,0,0,0,2,0,0,2,0,1,0,0,0,0,16,0,0,11,118,6,0,2,9,0,32,50,0,7,49,48,0,0,4,0,0
 24-34,0,0.82,0,1.64,11.49,0,19.7,0.82,1.64,0,4.1,0.82,0,0.82,0,0.82,0.82,1.64,0.82,2.46,30.37,0,0.82,17.24,149.4,2.46,0,3.28,0,0,98.5,0,0.82,2.46,18.06,44.33,0,0,9.03,0,1.64
 36-46,0,0,0,0,1.61,0.81,11.28,1.61,0.81,0.81,5.64,0,0,0,0,0,1.61,0,0,0,29.81,0.81,0,9.67,90.23,1.61,0,3.22,0,0,77.34,0,0,0,0.81,44.31,0,0,8.86,0,0
 48-58,0,0,0,0,1.72,0.57,33.28,1.15,1.15,0,13.2,1.15,0,2.3,0,0,2.3,1.15,0,0,37.87,0,0,5.16,39.02,1.15,0.57,1.15,0,1.15,71.15,0,0,0.57,0,18.94,0,0,4.59,0,0
 60-70,0.98,0,0,0,5.89,0,40.24,0.98,0.98,0.98,16.69,0,0,2.94,0,0.98,8.83,0,0.98,0,39.26,0.98,0.98,1.96,36.32,0.98,2.94,1.96,0,0,106,0,0.98,1.96,0,13.74,0,0,1.96,0,0
 72-82,0,0,0,0,9.82,0.98,30.43,0.98,0,5.89,30.43,1.96,0,1.96,0,0,8.83,0,0,0,54.97,0.98,1.96,4.91,47.12,0.98,0.98,4.91,0,1.96,106.02,0,0,0,0,0.98,0.98,0.98,6.87,0.98,0.98
 84-94,0,0,0,0,7.43,0,36.11,0,5.31,0,24.43,4.25,0,0,2.12,4.25,9.56,0,0,0,37.17,1.06,0,9.56,29.74,1.06,0,3.19,0,0,248.52,0,2.12,0,0,1.06,0,2.12,4.25,0,0
 96-106,0,0,1.09,0,10.93,1.09,39.34,2.19,3.28,2.19,30.6,6.56,0,1.09,6.56,6.56,7.65,0,0,1.09,27.32,4.37,0,3.28,33.88,1.09,1.09,2.19,0,1.09,224.03,0,0,0,0,1.09,1.09,3.28,7.65,2.19,0
108-118,0,0,0,0.77,13.79,0,29.87,0,2.3,0,29.87,5.36,0,0.77,2.3,7.66,8.43,0.77,0,0,27.57,3.06,0.77,3.83,32.94,0,1.53,5.36,0,0,152.43,0,0.77,0.77,0,0.77,0,0.77,5.36,0.77,0
120,0,0,0,0,21.56,0,35.28,3.92,1.96,0,25.48,3.92,0,1.96,3.92,0,3.92,0,1.96,0,43.12,0,3.92,5.88,52.91,0,1.96,1.96,0,1.96,105.83,0,3.92,0,0,3.92,0,0,5.88,0,0
