stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,1,0,0,1,0,0
 24-34,0,0,0,0,4.93,0,0,0,0.82,0,0,0.82,0.82,0,0,3.28,0,0.82,0,0,1.64,0,0,0.82,4.1,0,0,8.21,0.82,0.82,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,4.03,0,0,17.72,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,1.72,0.57,0.57,0.57,0.57,0,0,0,2.3,0,0,0,0,0.57,1.72,0,0.57,0,7.46,0,0,16.07,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,1.96,0,0,0,0,0,5.89,0.98,0,0,0,0.98,2.94,0,0,0,2.94,0,0,20.61,0,0,0,1.96,0
 72-82,0,0,0,0,5.89,0.98,0.98,0,2.94,0,0,0.98,0,0,5.89,0,0,0,0,0,4.91,0,0,0,4.91,0,0,19.63,0,0,0,0,0
 84-94,0,0,1.06,0,8.5,0,3.19,0,1.06,0,0,1.06,0,1.06,13.81,1.06,0,0,0,0,1.06,1.06,0,0,0,0,0,60.54,1.06,0,0,3.19,0
 96-106,0,0,0,0,9.84,0,0,0,0,0,0,3.28,0,1.09,22.95,2.19,1.09,0,0,0,2.19,2.19,0,1.09,3.28,1.09,0,54.64,0,0,0,1.09,0
108-118,0,0,0,0,13.79,0,1.53,0,3.06,0,0.77,6.89,0,0,12.26,3.06,0,1.53,0.77,0,0,0,0,0.77,8.43,0.77,0,40.6,0,0,0,2.3,0.77
120,0,0,0,1.96,5.88,0,1.96,0,1.96,0,0,5.88,0,0,11.76,1.96,0,0,0,0,0,3.92,0,0,1.96,0,0,70.55,0,0,0,3.92,0
