stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,12,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,47,2,0,0,0,1,6,1,0,13,19,0,0,1,0,0
 24-34,0,0,8.21,0,0,12.31,1.64,0.82,4.1,0,0.82,0.82,0,1.64,0,0.82,0.82,0,22.16,0.82,0,9.03,126.41,0,2.46,0.82,0,3.28,0,0.82,0,3.28,32.83,0,0,3.28,0,0.82
 36-46,0.81,0.81,3.22,0,0,27.39,0,0,2.42,0,0,0,0,0.81,0,0,0,0.81,20.14,0,0,8.06,86.21,0,3.22,0.81,0,8.86,0,1.61,0,0,43.51,0,0,0.81,0,0.81
 48-58,0,0,1.15,1.72,0,25.82,0,2.3,6.89,0,0,1.15,0,0.57,0.57,0,0,1.15,21.23,1.15,1.15,1.15,61.4,0,1.15,0.57,0,1.72,0,0,0,0,18.36,0,0,2.3,0,0
 60-70,0,0,0.98,4.91,0,44.17,0,0,5.89,0,0,0,0,0,0,0,0,0,33.37,0,1.96,1.96,63.8,0,0,1.96,0,3.93,0,0,0.98,0,15.7,0,0.98,1.96,0,0
 72-82,0,0,4.91,18.65,0,28.47,0,3.93,11.78,0.98,0,0,1.96,0,0.98,2.94,0,0,38.28,0,0.98,3.93,51.05,0,0.98,0.98,0,2.94,0,0,0,0,11.78,0,2.94,3.93,0.98,0
 84-94,0,0,3.19,8.5,0,22.3,1.06,5.31,14.87,3.19,0,0,0,3.19,0,0,0,0,21.24,0,3.19,6.37,40.36,1.06,1.06,2.12,0,5.31,0,0,0,0,8.5,0,0,4.25,0,0
 96-106,0,0,1.09,13.11,0,25.14,1.09,1.09,5.46,0,0,2.19,1.09,2.19,0,1.09,1.09,0,26.23,0,1.09,2.19,28.41,0,0,5.46,0,5.46,0,1.09,0,0,4.37,0,0,6.56,1.09,0
108-118,0.77,0,5.36,5.36,2.3,15.32,1.53,3.83,12.26,0.77,0,0,5.36,0.77,2.3,0,0,0,27.57,0.77,0,9.19,42.89,0.77,1.53,2.3,0.77,6.13,0,0.77,0,0,0.77,2.3,0,5.36,0.77,0
120,0,1.96,3.92,5.88,0,13.72,0,0,5.88,0,0,1.96,5.88,1.96,1.96,1.96,0,0,35.28,0,1.96,7.84,39.2,1.96,3.92,0,0,7.84,0,0,0,0,1.96,0,0,7.84,0,0
