stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,281.96,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,2.63,5.26,5.26,0,0,13.14,0,0,13.14,0,0,0,115.66,0,0,39.43,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,6.29,0,0,3.15,0,0,0,50.35,6.29,0,18.88,0,0,3.15,0,0,0,0
 14-21,0,0,1,3,1,3,0,0,0,0,3,1,39,1,1,0,0,6,0,1,5,11,0
 24-34,0,0,0,0.82,0,4.93,0,0.82,0,0,4.1,2.46,25.45,0,0,0,0,0,0,0,0.82,5.75,0.82
 36-46,0,0,0,0,0,2.42,0,0,0,0,0.81,1.61,12.89,0.81,0,0,0.81,0,0,0,0,4.83,1.61
 48-58,0,0,0,0,0,3.44,0,0.57,0,0,0.57,0,6.89,0,0,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,2.94,0,0.98,0,0.98,1.96,0,7.85,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,2.94,0,0,1.96,0,1.96,0,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,3.19,1.06,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,2.19,0,1.09,0,0,1.09,1.09,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,0,0,0.77,0.77,1.53,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
