stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,1,2,21,1,9,0,0,8,3,1,0,0,1,0,0,0,10,1,0,2,221,3,4,2,7,32,1,0,20,77,0,1,0
 24-34,0,0.82,10.67,0.82,57.46,0,0,7.39,1.64,0,0,0.82,2.46,0.82,0,1.64,13.95,0.82,0,4.1,334.09,3.28,5.75,0,26.27,0,0,0,0.82,73.06,0,0.82,0
 36-46,0,0,1.61,0,132.94,0,0.81,5.64,0,0,0,0,1.61,0,0.81,2.42,10.47,0,0.81,4.03,156.3,3.22,2.42,0,13.7,0,0.81,0,0,30.62,0,0,0
 48-58,0,0,2.87,0,131.98,0,0,5.74,1.15,0,0,1.15,1.15,0,1.15,0.57,12.05,0.57,1.15,1.72,91.23,0.57,1.72,0,3.44,0,1.15,1.15,0,12.62,0,1.15,0.57
 60-70,0,0,8.83,0,82.45,0.98,0,8.83,5.89,0,0,3.93,1.96,0,0.98,0.98,5.89,0,0,0,42.21,0.98,0.98,0,3.93,0,0.98,0,0,7.85,0,0.98,0
 72-82,0.98,0,5.89,0.98,29.45,0,0,9.82,1.96,0,0,2.94,1.96,0,0,0,1.96,0,0.98,0.98,38.28,0.98,2.94,0,2.94,0,0,0,0,3.93,0,0.98,0
 84-94,0,0,8.5,0,19.12,0,0,3.19,3.19,0,0,0,3.19,0,1.06,0,7.43,1.06,0,2.12,25.49,1.06,2.12,0,9.56,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,6.56,0,13.11,0,0,4.37,2.19,0,1.09,2.19,2.19,0,0,0,2.19,0,1.09,1.09,22.95,3.28,0,0,4.37,0,0,0,0,0,0,0,0
108-118,0.77,0,3.83,0,11.49,0,0,3.06,3.83,0,0,0,1.53,0,0,0,0.77,0,0,2.3,21.45,0,0.77,0,6.89,0,0,0,0,0,0.77,0,0
120,0,0,9.8,0,15.68,0,0,11.76,1.96,0,0,3.92,0,0,0,3.92,1.96,0,1.96,1.96,35.28,1.96,1.96,0,1.96,0,0,0,0,0,0,1.96,0
