stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,gut,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,2,1,0,0,6,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,0,0,0,0,3.28,0,30.37,0,2.46,1.64,0,0,9.85,0,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,66.06,0,9.67,0,0,0,17.72,0,0,0,0.81,0
 48-58,0,0,0,0.57,9.75,0,3.44,0,0,0,0,0.57,0.57,100.42,0,2.87,2.3,0,0,18.36,0,0,0,0,0
 60-70,0,0,0,0.98,44.17,0,2.94,0,0.98,0,0,1.96,0,229.68,0,4.91,0.98,0,0,15.7,0,0,0,0,0
 72-82,0,0,0,0,96.2,0,7.85,0.98,0,0.98,0,9.82,0,282.72,0,16.69,0,0,0,23.56,0,0.98,0,0.98,0
 84-94,0,0,0,1.06,50.98,1.06,3.19,0,1.06,1.06,0,2.12,0,133.82,0,7.43,1.06,0,1.06,10.62,0,4.25,0,0,0
 96-106,0,0,0,1.09,34.97,0,6.56,0,1.09,0,0,3.28,0,138.79,0,7.65,2.19,0,0,5.46,1.09,1.09,1.09,1.09,0
108-118,0,0,0,1.53,32.94,0,4.6,0.77,0,0,0.77,2.3,0,150.13,0.77,9.96,1.53,0,0,2.3,0,0.77,0,0.77,0
120,0,0,0,1.96,31.36,1.96,0,0,0,0,0,0,0,186.18,0,0,1.96,0,0,1.96,0,0,0,1.96,0
