stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,31,2,0,4,0,0,0,0,4,0,0,0,0,0,0,0,16,0,0,7,44,0,0,0,4,0,0,0,2,7,2,28,0,0,0,0,0
 24-34,0,0,2.46,0,0,1.64,0,0,0,0.82,0.82,0,0,0,1.64,0,0,0,22.16,0,0,11.49,9.03,0,0.82,0,0,0,0.82,0,0,5.75,0,3.28,0,0,0,0,0.82
 36-46,0,0,1.61,0,0,4.03,0,0,0,0.81,0,0,0,0,0.81,0,0,0,86.21,0.81,0,13.7,12.89,0,0,0,0,0.81,0,0,0,6.45,0,3.22,0,0,0,0,0
 48-58,0,0,21.8,0.57,0,2.3,0,0,0,0,0,1.15,0.57,0,0.57,0,0,0,145.75,0,0.57,16.07,6.89,0.57,0,0.57,0,0.57,3.44,0,0,1.72,0,1.72,0,0,0,0,1.15
 60-70,0,0,8.83,0,0,3.93,0,1.96,1.96,1.96,0,0,0,0.98,8.83,0,0.98,0.98,270.9,0,0,21.59,7.85,0,0,0.98,0,3.93,11.78,0,0,6.87,0,1.96,0,2.94,0,2.94,0
 72-82,0,0,23.56,0.98,0,27.49,0.98,1.96,3.93,2.94,0.98,0.98,2.94,0,5.89,0.98,0,0,411.32,0.98,6.87,39.27,20.61,0,0,0,0,0.98,15.71,0,0,10.8,0,1.96,0,10.8,0.98,18.65,0
 84-94,0,0,35.05,0,0,31.86,0,1.06,4.25,2.12,0,0,3.19,1.06,15.93,0,0,0,275.07,0,6.37,24.43,8.5,0,1.06,0,0,2.12,41.42,0,0,18.05,0,1.06,1.06,5.31,1.06,15.93,0
 96-106,0,0,53.55,5.46,1.09,31.69,0,9.84,7.65,6.56,2.19,0,4.37,2.19,22.95,0,0,2.19,291.79,2.19,6.56,17.49,28.41,0,1.09,0,0,0,146.44,1.09,0,19.67,0,2.19,1.09,6.56,0,22.95,0
108-118,0,0.77,62.81,0.77,0,13.79,0,28.34,0.77,3.06,0,0,4.6,0,11.49,0.77,0,0.77,292.6,4.6,4.6,19.15,33.7,0,0,0.77,0,2.3,212.94,0,0,12.26,0,0,0,2.3,0.77,10.72,1.53
120,0,0,29.4,1.96,0,9.8,0,19.6,1.96,3.92,0,0,3.92,0,5.88,0,0,0,197.94,0,11.76,13.72,21.56,0,0,0,0,1.96,127.39,1.96,0,5.88,0,1.96,1.96,1.96,1.96,5.88,1.96
