stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,0,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,7.89,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,78.86,0,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,25.18,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,2,0,0,2,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,1.64,0,0,0,0.82,0.82,0,0.82,0,4.1,0,1.64,11.49,0,0,0,2.46,0,0.82,0,4.1,0.82,0.82
 36-46,0,0,0,0,0,0,2.42,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,11.28,0,0,0,0.81,0,0,0.81,2.42,0,0.81
 48-58,0,0,0,0,0.57,0,1.72,0,0.57,0,0.57,0,0,0,0,0,0,0,0.57,1.15,0,0,9.18,0,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,0,0,4.91,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0,1.96,0,0,17.67,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0,9.82,0,0,0,1.96,0,0,0,0,0,0,0.98,0,1.96,0,0,28.47,0,0,0,1.96,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,1.06,0,7.43,0,0,1.06,5.31,0,0,0,1.06,0,0,0,0,3.19,1.06,1.06,11.68,0,0,0,5.31,0,0,0,1.06,0,0
 96-106,0,0,0,0,3.28,0,3.28,0,0,0,4.37,0,0,0,1.09,0,0,0,1.09,4.37,1.09,0,15.3,0,1.09,0,7.65,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0,0,12.26,0,0,0,2.3,0,0,0,0.77,0,0,0.77,0,5.36,0,0,19.15,0,0,0,3.06,0,0,0.77,0.77,0.77,2.3
120,0,0,0,0,1.96,1.96,17.64,0,0,0,5.88,1.96,0,1.96,0,1.96,0,1.96,0,0,0,5.88,37.24,1.96,0,0,1.96,0,0,0,1.96,0,0
