stage,blastomeres,erythrocytes,eye,glial,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,2.63,0,2.63,0,0,0,13.14,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,4,0,0,0,1,1,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,4.1,0,0,0,0,0
 36-46,0,1.61,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,0,1.15,0
 60-70,0,2.94,0,0.98,0,0,5.89,0,0,0,0,0
 72-82,0,22.58,1.96,0,0.98,0,11.78,0,0,0,0,0
 84-94,0,12.74,0,1.06,2.12,0,7.43,1.06,0,0,0,2.12
 96-106,0,22.95,0,0,1.09,0,6.56,0,0,1.09,0,0
108-118,0,10.72,0,0,0,0,4.6,0,0,0,0,0
120,0,17.64,0,1.96,0,0,3.92,0,0,0,0,0
